seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJIUJ010000033.1	2596	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJIUJ010000006.1	7343	No terminal repeats	7	11	1.0000	NA	1	5.1618	NA	NA
JAJIUJ010000039.1	19299	No terminal repeats	27	11	1.0000	NA	6	13.9186	I_traL;I_traK;I_traI;MOBP1	NA
JAJIUJ010000001.1	31328	No terminal repeats	41	11	1.0000	NA	11	25.6300	T_virB6;T_virB5;virb4;t4cp2;T_virB1;T_virB10;T_virB9;T_virB6	NA
JAJIUJ010000107.1	13735	No terminal repeats	15	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JAJIUJ010000112.1	14846	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JAJIUJ010000064.1	18286	No terminal repeats	17	11	0.9999	NA	1	15.3408	NA	NA
JAJIUJ010000022.1	19731	No terminal repeats	20	11	0.9999	NA	6	19.3511	I_traY;I_traW;traU;I_traR;I_traQ;I_traP;I_traO;I_traN	NA
JAJIUJ010000106.1	16094	No terminal repeats	18	11	0.9999	NA	0	2.6600	NA	NA
JAJIUJ010000060.1	12158	No terminal repeats	10	11	0.9999	NA	0	4.9816	NA	NA
JAJIUJ010000089.1	48708	No terminal repeats	53	11	0.9999	NA	0	15.2682	NA	NA
JAJIUJ010000029.1	41440	No terminal repeats	50	11	0.9999	NA	9	15.8740	virb4;T_virB5;T_virB6;T_virB8;T_virB9;MOBP1	NA
JAJIUJ010000077.1	6680	No terminal repeats	9	11	0.9999	NA	0	0.4032	NA	NA
JAJIUJ010000009.1	23164	No terminal repeats	20	11	0.9997	NA	2	11.7573	I_trbB;I_trbA	NA
JAJIUJ010000030.1	7823	No terminal repeats	8	11	0.9996	NA	2	5.1548	T_virB6;T_virB6	NA
JAJIUJ010000027.1	26520	No terminal repeats	22	11	0.9996	NA	1	4.9416	NA	NA
JAJIUJ010000080.1	62999	No terminal repeats	62	11	0.9990	NA	0	0.6677	NA	NA
JAJIUJ010000052.1	7111	No terminal repeats	5	11	0.9987	NA	0	1.3109	NA	NA
JAJIUJ010000042.1	2598	No terminal repeats	2	11	0.9974	NA	0	0.1396	NA	NA
JAJIUJ010000013.1	20586	No terminal repeats	19	11	0.9870	NA	0	0.3959	NA	NA
JAJIUJ010000071.1	11513	No terminal repeats	9	11	0.9721	NA	1	1.5582	NA	NA
JAJIUJ010000102.1	11619	No terminal repeats	9	11	0.9430	NA	0	0.8983	NA	NA
JAJIUJ010000118.1	10659	No terminal repeats	9	11	0.8787	NA	0	0.3918	NA	NA
