#Duplication rate	Coverage
1.0	1146302.0
2.0	442007.0
3.0	171452.0
4.0	68765.0
5.0	28068.0
6.0	11997.0
7.0	5187.0
8.0	2407.0
9.0	1252.0
10.0	687.0
11.0	383.0
12.0	257.0
13.0	182.0
14.0	111.0
15.0	74.0
16.0	55.0
17.0	49.0
18.0	46.0
19.0	33.0
20.0	35.0
21.0	25.0
22.0	15.0
23.0	21.0
24.0	16.0
25.0	16.0
26.0	13.0
27.0	8.0
28.0	5.0
29.0	10.0
30.0	5.0
31.0	5.0
32.0	6.0
33.0	8.0
34.0	3.0
35.0	3.0
36.0	5.0
37.0	3.0
38.0	6.0
39.0	2.0
40.0	5.0
41.0	5.0
42.0	3.0
43.0	6.0
44.0	1.0
45.0	6.0
46.0	5.0
47.0	2.0
48.0	3.0
49.0	6.0
50.0	218.0
