#Duplication rate	Coverage
1.0	35363.0
2.0	16892.0
3.0	8691.0
4.0	4988.0
5.0	2999.0
6.0	1982.0
7.0	1283.0
8.0	855.0
9.0	592.0
10.0	464.0
11.0	364.0
12.0	245.0
13.0	179.0
14.0	121.0
15.0	101.0
16.0	93.0
17.0	67.0
18.0	54.0
19.0	44.0
20.0	39.0
21.0	27.0
22.0	22.0
23.0	17.0
24.0	17.0
25.0	13.0
26.0	5.0
27.0	16.0
28.0	11.0
29.0	11.0
30.0	10.0
31.0	7.0
32.0	7.0
33.0	3.0
34.0	3.0
35.0	1.0
36.0	4.0
37.0	6.0
38.0	2.0
39.0	6.0
40.0	4.0
41.0	1.0
42.0	2.0
43.0	2.0
44.0	3.0
45.0	6.0
46.0	2.0
47.0	1.0
48.0	2.0
49.0	3.0
50.0	61.0
