JBBIGE010000004.1_tRNA1_Leu	167816	167902
JBBIGE010000009.1_tRNA1_Thr	63754	63829
JBBIGE010000010.1_tRNA1_Gln	100769	100843
JBBIGE010000010.1_tRNA2_Met	100896	100972
JBBIGE010000011.1_tRNA1_Ser	1336	1425
JBBIGE010000012.1_tRNA1_Gly	146935	147010
JBBIGE010000012.1_tRNA2_Cys	147092	147165
JBBIGE010000014.1_tRNA1_Thr	96831	96906
JBBIGE010000017.1_tRNA1_Ser	39077	39169
JBBIGE010000022.1_tRNA1_Phe	50105	50180
JBBIGE010000022.1_tRNA2_Pro	78776	78852
JBBIGE010000025.1_tRNA1_Glu	72779	72854
JBBIGE010000025.1_tRNA2_Ala	72902	72977
JBBIGE010000025.1_tRNA3_Glu	73727	73802
JBBIGE010000025.1_tRNA4_Ala	73850	73925
JBBIGE010000026.1_tRNA1_Val	52675	52749
