#Coverage (X)	Coverage
1.0	91.53964667363856
2.0	91.48953925905025
3.0	91.44723158352521
4.0	91.40728746529207
5.0	91.37901568383894
6.0	91.35687097013482
7.0	91.33441717586174
8.0	91.3111452271415
9.0	91.28736420454297
10.0	91.2640377121929
11.0	91.24012942112482
12.0	91.22249364748525
13.0	91.20447606843697
14.0	91.18887659031043
15.0	91.17111354820129
16.0	91.1531323315729
17.0	91.13386024903895
18.0	91.12218791225894
19.0	91.10989741434105
20.0	91.09686148681571
21.0	91.08275286790405
22.0	91.06906241682097
23.0	91.05524469726831
24.0	91.03911796405356
25.0	91.02393665375558
26.0	91.00951895427498
27.0	90.99326495259068
28.0	90.97766547446412
29.0	90.96135692915
30.0	90.9459210819129
31.0	90.93044887225591
32.0	90.91470394444985
33.0	90.89757724468853
34.0	90.8784142494142
35.0	90.86057848246531
36.0	90.83937919167795
37.0	90.82197977376757
38.0	90.8016895434771
39.0	90.7785994068562
40.0	90.75300026326391
41.0	90.72378305889403
42.0	90.69022054534902
43.0	90.6514400245519
44.0	90.60438705323313
45.0	90.5553341488212
46.0	90.50006327061058
47.0	90.43273825021126
48.0	90.35141369815992
49.0	90.25727139310249
50.0	90.14431153575953
51.0	90.01595219359935
