#Duplication rate	Coverage
1.0	684293.0
2.0	239105.0
3.0	95198.0
4.0	43181.0
5.0	21104.0
6.0	11198.0
7.0	6180.0
8.0	3618.0
9.0	2258.0
10.0	1420.0
11.0	1003.0
12.0	690.0
13.0	472.0
14.0	322.0
15.0	286.0
16.0	205.0
17.0	139.0
18.0	128.0
19.0	78.0
20.0	87.0
21.0	63.0
22.0	67.0
23.0	39.0
24.0	38.0
25.0	29.0
26.0	29.0
27.0	23.0
28.0	33.0
29.0	23.0
30.0	15.0
31.0	20.0
32.0	11.0
33.0	16.0
34.0	16.0
35.0	5.0
36.0	12.0
37.0	12.0
38.0	9.0
39.0	8.0
40.0	4.0
41.0	7.0
42.0	8.0
43.0	7.0
44.0	3.0
45.0	7.0
46.0	13.0
47.0	10.0
48.0	5.0
49.0	7.0
50.0	133.0
