#Mapping quality	mapping quality
2.0	257.0
3.0	1086.0
4.0	148.0
5.0	61.0
6.0	136.0
7.0	92.0
8.0	79.0
9.0	200.0
10.0	149.0
11.0	79.0
12.0	125.0
13.0	311.0
14.0	58.0
15.0	123.0
16.0	200.0
17.0	158.0
18.0	166.0
19.0	474.0
20.0	398.0
21.0	651.0
22.0	399.0
23.0	365.0
24.0	249.0
25.0	489.0
26.0	337.0
27.0	680.0
28.0	525.0
29.0	979.0
30.0	1108.0
31.0	1130.0
32.0	1280.0
33.0	1389.0
34.0	1574.0
35.0	1921.0
36.0	2195.0
37.0	2267.0
38.0	3105.0
39.0	3525.0
40.0	15845.0
41.0	820.0
42.0	754.0
43.0	798.0
44.0	1106.0
45.0	992.0
46.0	1089.0
47.0	1143.0
48.0	1251.0
49.0	1429.0
50.0	1445.0
51.0	2045.0
52.0	2189.0
53.0	2438.0
54.0	2471.0
55.0	2740.0
56.0	3526.0
57.0	4309.0
58.0	6121.0
59.0	56602.0
60.0	4897268.0
