#Mapping quality	mapping quality
1.0	952.0
2.0	371.0
3.0	479.0
4.0	117.0
5.0	424.0
6.0	46.0
7.0	163.0
8.0	191.0
9.0	189.0
10.0	317.0
11.0	92.0
12.0	224.0
13.0	224.0
14.0	168.0
15.0	433.0
16.0	100.0
17.0	97.0
18.0	205.0
19.0	159.0
20.0	209.0
21.0	227.0
22.0	400.0
23.0	435.0
24.0	431.0
25.0	586.0
26.0	516.0
27.0	1502.0
28.0	1280.0
29.0	1012.0
30.0	1076.0
31.0	1523.0
32.0	1460.0
33.0	1650.0
34.0	2496.0
35.0	1746.0
36.0	2530.0
37.0	3136.0
38.0	3644.0
39.0	3867.0
40.0	17120.0
41.0	923.0
42.0	989.0
43.0	1214.0
44.0	1131.0
45.0	1271.0
46.0	1125.0
47.0	1389.0
48.0	1591.0
49.0	1753.0
50.0	1837.0
51.0	2271.0
52.0	2272.0
53.0	2744.0
54.0	2742.0
55.0	3074.0
56.0	3501.0
57.0	4762.0
58.0	6978.0
59.0	85481.0
60.0	5019166.0
