#Duplication rate	Coverage
1.0	15297.0
2.0	8168.0
3.0	4790.0
4.0	2947.0
5.0	1892.0
6.0	1368.0
7.0	932.0
8.0	690.0
9.0	482.0
10.0	413.0
11.0	305.0
12.0	198.0
13.0	178.0
14.0	135.0
15.0	141.0
16.0	99.0
17.0	78.0
18.0	62.0
19.0	51.0
20.0	38.0
21.0	35.0
22.0	34.0
23.0	19.0
24.0	21.0
25.0	24.0
26.0	14.0
27.0	9.0
28.0	7.0
29.0	9.0
30.0	5.0
31.0	6.0
32.0	3.0
33.0	7.0
34.0	4.0
35.0	4.0
36.0	4.0
37.0	4.0
38.0	4.0
39.0	4.0
40.0	1.0
41.0	6.0
42.0	5.0
43.0	5.0
44.0	1.0
45.0	3.0
46.0	1.0
47.0	5.0
48.0	1.0
49.0	0.0
50.0	35.0
