#Mapping quality	mapping quality
1.0	73.0
2.0	100.0
3.0	1395.0
4.0	121.0
5.0	394.0
6.0	108.0
7.0	111.0
8.0	74.0
9.0	107.0
10.0	123.0
11.0	240.0
12.0	219.0
13.0	157.0
14.0	90.0
15.0	334.0
16.0	108.0
17.0	612.0
18.0	379.0
19.0	448.0
20.0	389.0
21.0	483.0
22.0	474.0
23.0	576.0
24.0	312.0
25.0	390.0
26.0	488.0
27.0	796.0
28.0	1009.0
29.0	846.0
30.0	793.0
31.0	1262.0
32.0	938.0
33.0	1252.0
34.0	1564.0
35.0	1734.0
36.0	2196.0
37.0	3354.0
38.0	4688.0
39.0	5442.0
40.0	8967.0
41.0	1047.0
42.0	912.0
43.0	1008.0
44.0	1025.0
45.0	1203.0
46.0	1055.0
47.0	1040.0
48.0	1201.0
49.0	1597.0
50.0	1726.0
51.0	1946.0
52.0	2127.0
53.0	2551.0
54.0	2655.0
55.0	2878.0
56.0	3692.0
57.0	4712.0
58.0	6063.0
59.0	247952.0
60.0	4704450.0
