#Insert size (bp)	insert size
19.0	207.0
20.0	57.0
21.0	57.0
22.0	17.0
23.0	21.0
24.0	5.0
25.0	3.0
26.0	2.0
27.0	3.0
29.0	1.0
31.0	2.0
35.0	2.0
36.0	1.0
37.0	7.0
39.0	8.0
40.0	2.0
42.0	2.0
43.0	1.0
44.0	1.0
46.0	5.0
47.0	1.0
50.0	3.0
52.0	1.0
53.0	1.0
54.0	3.0
55.0	1.0
57.0	1.0
60.0	2.0
61.0	1.0
62.0	1.0
66.0	3.0
68.0	5.0
70.0	3.0
71.0	2.0
72.0	34.0
73.0	3.0
74.0	2.0
75.0	1.0
76.0	2.0
77.0	4.0
78.0	2.0
80.0	2.0
81.0	3.0
83.0	9.0
84.0	1.0
85.0	2.0
86.0	21.0
87.0	15.0
88.0	6.0
89.0	5.0
90.0	4.0
91.0	6.0
92.0	4.0
93.0	2.0
94.0	4.0
96.0	5.0
97.0	3.0
98.0	42.0
100.0	1.0
101.0	3.0
102.0	6.0
103.0	1.0
104.0	2.0
105.0	3.0
106.0	1.0
107.0	1.0
108.0	4.0
109.0	21.0
110.0	5.0
111.0	2.0
112.0	4.0
113.0	34.0
114.0	6.0
115.0	3.0
116.0	7.0
117.0	1.0
118.0	2.0
119.0	7.0
120.0	5.0
121.0	2.0
122.0	5.0
123.0	3.0
124.0	4.0
125.0	8.0
126.0	4.0
127.0	4.0
128.0	2.0
129.0	6.0
130.0	2.0
131.0	4.0
132.0	4.0
133.0	6.0
134.0	8.0
135.0	5.0
136.0	6.0
137.0	8.0
138.0	5.0
139.0	8.0
140.0	26.0
141.0	7.0
142.0	9.0
143.0	16.0
144.0	9.0
145.0	8.0
146.0	3.0
147.0	7.0
148.0	13.0
149.0	42.0
150.0	8.0
151.0	13.0
152.0	9.0
153.0	4.0
154.0	4.0
155.0	11.0
156.0	10.0
157.0	13.0
158.0	8.0
159.0	8.0
160.0	1.0
161.0	13.0
162.0	6.0
163.0	11.0
164.0	7.0
165.0	6.0
166.0	11.0
167.0	7.0
168.0	14.0
169.0	30.0
