#Coverage (X)	Coverage
1.0	5.332067631465833
2.0	5.02758274824474
3.0	4.941610545923496
4.0	4.830563117925209
5.0	4.693843435067109
6.0	4.678320676314655
7.0	4.598318765821276
8.0	4.575631656875387
9.0	4.459210966232035
10.0	4.439509003200087
11.0	4.338611071309174
12.0	4.32726751683623
13.0	4.235922051869906
14.0	4.216817118020742
15.0	4.10815780675361
16.0	4.100993456560175
17.0	4.04129053828153
18.0	4.015021254238931
19.0	3.9666618904332296
20.0	3.9535272484119304
21.0	3.9123322347996634
22.0	3.897406505230009
23.0	3.841285762048088
24.0	3.8293451783923587
25.0	3.7893442231456618
26.0	3.7780006686727177
27.0	3.7636719682858484
28.0	3.757701676457984
29.0	3.7218799254907964
30.0	3.7021779624588476
31.0	3.686655203706394
32.0	3.6800878826957444
33.0	3.6609829488465806
34.0	3.6508334527392066
35.0	3.644863160911342
36.0	3.6376988107179073
37.0	3.634116635621183
38.0	3.6269522854277483
39.0	3.625758227062178
40.0	3.615011701772019
41.0	3.613817643406449
42.0	3.6102354683097246
43.0	3.60187705975072
44.0	3.590533505277776
45.0	3.582175096718771
46.0	3.5750107465253365
47.0	3.5720256006114113
48.0	3.5618761045040372
49.0	3.551129579213878
50.0	3.538591966375364
51.0	3.5248602951712797
