#Duplication rate	Coverage
1.0	34869.0
2.0	16401.0
3.0	8560.0
4.0	4765.0
5.0	2922.0
6.0	1909.0
7.0	1224.0
8.0	848.0
9.0	612.0
10.0	382.0
11.0	302.0
12.0	224.0
13.0	154.0
14.0	139.0
15.0	100.0
16.0	69.0
17.0	56.0
18.0	42.0
19.0	49.0
20.0	30.0
21.0	19.0
22.0	25.0
23.0	20.0
24.0	19.0
25.0	14.0
26.0	12.0
27.0	10.0
28.0	9.0
29.0	10.0
30.0	3.0
31.0	8.0
32.0	5.0
33.0	4.0
34.0	2.0
35.0	3.0
36.0	0.0
37.0	5.0
38.0	2.0
39.0	0.0
40.0	2.0
41.0	2.0
42.0	1.0
43.0	4.0
44.0	3.0
45.0	2.0
46.0	6.0
47.0	1.0
48.0	4.0
49.0	0.0
50.0	54.0
