#Duplication rate	Coverage
1.0	1014340.0
2.0	393076.0
3.0	174868.0
4.0	87015.0
5.0	46496.0
6.0	26613.0
7.0	15710.0
8.0	9852.0
9.0	6413.0
10.0	4198.0
11.0	2912.0
12.0	1964.0
13.0	1490.0
14.0	1021.0
15.0	760.0
16.0	566.0
17.0	436.0
18.0	340.0
19.0	307.0
20.0	238.0
21.0	197.0
22.0	138.0
23.0	117.0
24.0	109.0
25.0	87.0
26.0	80.0
27.0	61.0
28.0	54.0
29.0	52.0
30.0	31.0
31.0	52.0
32.0	35.0
33.0	24.0
34.0	31.0
35.0	13.0
36.0	14.0
37.0	19.0
38.0	23.0
39.0	10.0
40.0	17.0
41.0	18.0
42.0	9.0
43.0	16.0
44.0	16.0
45.0	15.0
46.0	6.0
47.0	10.0
48.0	5.0
49.0	4.0
50.0	305.0
