#Position (bp)	mapping quality
210.0	59.99895637653935
629.0	60.0
1048.0	59.782259830248705
1467.0	59.59484757107249
1886.0	59.72026958251723
2305.0	59.998950002624994
2724.0	60.0
3143.0	59.98835408736048
3562.0	60.0
3981.0	59.83649067143713
4400.0	59.439092244389755
4819.0	58.96479055821084
5238.0	59.107622137281986
5657.0	49.588918570924534
6076.0	54.893330657760835
6495.0	59.99761913350889
6914.0	59.99776495149208
7333.0	59.998732653190544
7752.0	44.335908466700076
8171.0	50.059068382068865
8590.0	42.41930884079852
9009.0	12.420809248554914
9428.0	35.37106918238994
9847.0	59.99898496369955
10266.0	59.99237552527696
10685.0	59.992705090714715
11104.0	59.995008048617265
11523.0	59.99551918349566
11942.0	59.99594276173088
12361.0	59.99878563885956
12780.0	59.998358352670046
13199.0	60.0
13618.0	60.0
14037.0	59.99525041346847
14456.0	59.99178298270391
14875.0	59.995648660409024
15294.0	59.972810884123085
15713.0	60.0
16132.0	59.99923935967915
16551.0	59.99818969028618
16970.0	59.95913531704469
17389.0	59.99172171153614
17808.0	59.98587864234257
18227.0	59.99626908412561
18646.0	59.990184737266446
19065.0	59.99541637336913
19484.0	59.99528730602215
19903.0	59.91683514774495
20322.0	59.938224084643245
20741.0	59.99711242049401
21160.0	60.0
21579.0	59.99693194020692
21998.0	59.997131588382935
22417.0	59.98277265119992
22836.0	59.99862912932994
23255.0	59.99596090460495
23674.0	59.94396895249316
24093.0	59.99403267985328
24512.0	59.957349526701194
24931.0	59.99906552245082
25350.0	59.92871663715653
25769.0	59.96737652922519
26188.0	60.0
26607.0	59.99890346869403
27026.0	59.98992480463951
27445.0	59.99694506573564
27864.0	59.98669692464199
28283.0	59.98604266274366
28702.0	59.987211856903954
29121.0	60.0
29540.0	60.0
29959.0	59.99734122525203
30378.0	60.0
30797.0	59.95405459072233
31216.0	59.99448964377168
31635.0	59.99878760936774
32054.0	59.99312573039115
32473.0	59.98571524829863
32892.0	59.990753038887675
33311.0	59.996337124119165
33730.0	60.0
34149.0	60.0
34568.0	59.997037134579934
34987.0	59.99762634754228
35406.0	59.99672417558419
35825.0	59.996149305240216
36244.0	59.989635123973635
36663.0	59.99902769450161
37082.0	59.99811781739209
37501.0	59.98956620715821
37920.0	59.968596324734705
38339.0	59.94063504971722
38758.0	59.995638367065844
39177.0	59.97566299036177
39596.0	59.99487812961345
40015.0	59.9909236070258
40434.0	60.0
40853.0	59.99484375694537
41272.0	59.94541666666667
41691.0	59.92527298237052
42110.0	59.99630580427024
42529.0	59.99931175691254
42948.0	59.998093301131306
43367.0	59.996555749028914
43786.0	59.99094056362636
44205.0	59.996964385739844
44624.0	59.9970393275984
45043.0	59.99921303500206
45462.0	59.99902624275768
45881.0	59.99597498742184
46300.0	59.98596146421928
46719.0	59.997214761762656
47138.0	60.0
47557.0	59.9990687134276
47976.0	60.0
48395.0	59.9965481219058
48814.0	59.99682419659735
49233.0	60.0
49652.0	60.0
50071.0	60.0
50490.0	59.99452169569631
50909.0	59.982993506611614
51328.0	59.99495122522945
51747.0	59.99539874780208
52166.0	59.989468414514306
52585.0	59.99395215724391
53004.0	59.994112959620104
53423.0	59.99193456776099
53842.0	59.99943504819745
54261.0	60.0
54680.0	59.98688292690768
55099.0	59.99258866189086
55518.0	59.997715199634435
55937.0	59.990183954243314
56356.0	59.992770578837806
56775.0	59.994262184420144
57194.0	59.99812970819984
57613.0	59.90644011603813
58032.0	59.99735291337094
58451.0	59.98478865851704
58870.0	59.98598474582833
59289.0	59.99885598794974
59708.0	59.995002231146806
60127.0	59.992215442878184
60546.0	59.864320429026314
60965.0	59.9958559017049
61384.0	59.990898175762034
61803.0	59.8780642513339
62222.0	59.992299649833214
62641.0	59.99525678496868
63060.0	59.99728379492652
63479.0	59.997115384615384
63898.0	59.999272931572946
64317.0	59.995806185875836
64736.0	60.0
65155.0	59.9965249319739
65574.0	59.92485061637568
65993.0	59.99926269752166
66412.0	59.9957127545552
66831.0	59.99836847389558
67250.0	59.997728649303454
67669.0	60.0
68088.0	59.99675287023078
68507.0	59.95982304272923
68926.0	59.99695657687361
69345.0	60.0
69764.0	59.999061620269
70183.0	60.0
70602.0	60.0
71021.0	59.99480968858131
71440.0	59.855544328430824
71859.0	59.99690557832232
72278.0	59.997086530057295
72697.0	59.99835414391745
73116.0	59.994551233540186
73535.0	59.99708242159008
73954.0	59.99827928524156
74373.0	59.99823264508454
74792.0	59.97634619577066
75211.0	59.96833122317773
75630.0	59.99926860486378
76049.0	59.99145010307188
76468.0	59.99659329636429
76887.0	59.99277015615277
77306.0	59.98853004366207
77725.0	59.997473219687535
78144.0	59.99469244000328
78563.0	60.0
78982.0	59.98207545265538
79401.0	59.99610934780383
79820.0	59.99724101688235
80239.0	59.999325205122304
80658.0	59.99910202493378
81077.0	59.999496589801886
81496.0	59.99789686552073
81915.0	59.99802367785949
82334.0	59.9905380944545
82753.0	59.952127259036146
83172.0	59.94893061932736
83591.0	59.95107355212983
84010.0	59.98791023589395
84429.0	59.9966524528753
84848.0	59.99210367691381
85267.0	59.997604312237975
85686.0	59.99568879239996
86105.0	59.990951457820685
86524.0	59.96193923186869
86943.0	58.75391067030553
