#Mapping quality	mapping quality
1.0	524.0
2.0	113.0
3.0	5.0
4.0	104.0
5.0	236.0
6.0	193.0
7.0	456.0
8.0	93.0
9.0	14.0
19.0	25.0
21.0	4.0
22.0	132.0
23.0	123.0
24.0	41.0
25.0	94.0
26.0	60.0
27.0	16.0
28.0	96.0
29.0	39.0
30.0	5.0
31.0	94.0
32.0	11.0
33.0	91.0
34.0	130.0
35.0	108.0
36.0	146.0
37.0	66.0
38.0	87.0
39.0	169.0
40.0	37.0
41.0	51.0
42.0	18.0
43.0	24.0
44.0	18.0
45.0	26.0
46.0	34.0
47.0	50.0
48.0	38.0
49.0	41.0
50.0	59.0
51.0	24.0
52.0	44.0
53.0	71.0
54.0	95.0
55.0	158.0
56.0	161.0
57.0	213.0
58.0	887.0
59.0	10801.0
60.0	150634.0
