#Duplication rate	Coverage
1.0	13608.0
2.0	7303.0
3.0	4593.0
4.0	3071.0
5.0	2020.0
6.0	1393.0
7.0	1063.0
8.0	791.0
9.0	595.0
10.0	483.0
11.0	395.0
12.0	282.0
13.0	232.0
14.0	169.0
15.0	148.0
16.0	121.0
17.0	116.0
18.0	83.0
19.0	83.0
20.0	72.0
21.0	37.0
22.0	39.0
23.0	34.0
24.0	34.0
25.0	24.0
26.0	24.0
27.0	18.0
28.0	12.0
29.0	12.0
30.0	11.0
31.0	17.0
32.0	12.0
33.0	11.0
34.0	9.0
35.0	9.0
36.0	6.0
37.0	11.0
38.0	4.0
39.0	3.0
40.0	5.0
41.0	2.0
42.0	5.0
43.0	1.0
44.0	2.0
45.0	2.0
46.0	3.0
47.0	1.0
48.0	2.0
49.0	1.0
50.0	34.0
