seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JSZG01000275.1	2363	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JSZG01000191.1	7968	No terminal repeats	11	11	1.0000	NA	1	4.1705	NA	NA
JSZG01000234.1	6603	No terminal repeats	6	11	1.0000	NA	0	2.2645	NA	NA
JSZG01000233.1	4422	No terminal repeats	6	11	1.0000	NA	3	5.0279	T_virB8;T_virB9	NA
JSZG01000142.1	12014	No terminal repeats	17	11	1.0000	NA	0	3.7839	NA	NA
JSZG01000309.1	943	No terminal repeats	3	11	1.0000	NA	1	0.7476	NA	NA
JSZG01000250.1	5470	No terminal repeats	7	11	1.0000	NA	3	3.9984	T_virB3;T_virB2	NA
JSZG01000265.1	2586	No terminal repeats	3	11	1.0000	NA	1	1.7183	NA	NA
JSZG01000178.1	8578	No terminal repeats	11	11	1.0000	NA	1	5.3477	t4cp2	NA
JSZG01000216.1	7197	No terminal repeats	10	11	1.0000	NA	0	4.2600	NA	NA
JSZG01000229.1	4556	No terminal repeats	6	11	1.0000	NA	1	6.2803	MOBH	NA
JSZG01000276.1	4177	No terminal repeats	4	11	1.0000	NA	0	5.1059	NA	NA
JSZG01000135.1	12670	No terminal repeats	17	11	1.0000	NA	6	10.6764	T_virB1;T_virB3;virb4;T_virB5;T_virB6	NA
JSZG01000177.1	8628	No terminal repeats	11	11	1.0000	NA	2	5.1548	T_virB6;B_traI	NA
JSZG01000215.1	6373	No terminal repeats	9	11	1.0000	NA	0	2.1428	NA	NA
JSZG01000181.1	8469	No terminal repeats	8	11	1.0000	NA	0	5.6585	NA	NA
JSZG01000251.1	3607	No terminal repeats	6	11	1.0000	NA	0	4.0962	NA	NA
JSZG01000129.1	12354	No terminal repeats	10	11	1.0000	NA	0	4.9816	NA	NA
JSZG01000232.1	4484	No terminal repeats	4	11	0.9999	NA	2	2.3074	T_virB5;T_virB6	NA
JSZG01000209.1	5546	No terminal repeats	5	11	0.9999	NA	0	3.4181	NA	NA
JSZG01000193.1	8046	No terminal repeats	10	11	0.9999	NA	1	8.5656	NA	NA
JSZG01000237.1	4214	No terminal repeats	5	11	0.9999	NA	0	1.3688	NA	NA
JSZG01000319.1	3619	No terminal repeats	5	11	0.9999	NA	0	3.1354	NA	NA
JSZG01000157.1	9954	No terminal repeats	15	11	0.9998	NA	0	3.6610	I_traW;I_traW	NA
JSZG01000267.1	2528	No terminal repeats	4	11	0.9998	NA	1	2.1812	NA	NA
JSZG01000159.1	9890	No terminal repeats	14	11	0.9998	NA	4	4.1174	T_virB6;T_virB8;T_virB9;T_virB10	NA
JSZG01000083.1	16730	No terminal repeats	17	11	0.9998	NA	4	5.9838	traU;I_traN;I_traM	NA
JSZG01000127.1	12614	No terminal repeats	9	11	0.9997	NA	0	2.3370	NA	NA
JSZG01000069.1	18638	No terminal repeats	18	11	0.9997	NA	0	5.0310	NA	NA
JSZG01000252.1	3577	No terminal repeats	3	11	0.9997	NA	0	1.7183	NA	NA
JSZG01000027.1	42334	No terminal repeats	45	11	0.9997	NA	2	9.7893	NA	NA
JSZG01000189.1	7939	No terminal repeats	8	11	0.9997	NA	3	6.8731	T_virB6;T_virB6;T_virB6	NA
JSZG01000110.1	14045	No terminal repeats	13	11	0.9996	NA	0	2.1093	NA	NA
JSZG01000113.1	18334	No terminal repeats	16	11	0.9995	NA	0	1.3109	NA	NA
JSZG01000111.1	13922	No terminal repeats	13	11	0.9993	NA	0	1.9113	NA	NA
JSZG01000182.1	8410	No terminal repeats	11	11	0.9992	NA	2	4.7278	I_traK;I_traI	NA
JSZG01000230.1	7821	No terminal repeats	9	11	0.9989	NA	3	2.5468	T_virB6;B_traI;B_traI	NA
JSZG01000203.1	6113	No terminal repeats	7	11	0.9986	NA	0	0.7419	NA	NA
JSZG01000047.1	38983	No terminal repeats	30	11	0.9985	NA	0	4.6087	NA	NA
JSZG01000247.1	3726	No terminal repeats	5	11	0.9984	NA	1	2.3572	I_trbA	NA
JSZG01000285.1	1844	No terminal repeats	2	11	0.9984	NA	1	2.1838	NA	NA
JSZG01000255.1	3188	No terminal repeats	3	11	0.9965	NA	0	0.7327	NA	NA
JSZG01000109.1	14728	No terminal repeats	17	11	0.9963	NA	0	1.2774	NA	NA
JSZG01000099.1	15093	No terminal repeats	16	11	0.9961	NA	0	3.2741	NA	NA
JSZG01000061.1	47607	No terminal repeats	28	11	0.9953	NA	0	3.0142	NA	NF000272
JSZG01000145.1	11176	No terminal repeats	12	11	0.9947	NA	0	1.6112	NA	NA
JSZG01000112.1	28221	No terminal repeats	15	11	0.9947	NA	0	1.7907	NA	NA
JSZG01000122.1	33835	No terminal repeats	26	11	0.9846	NA	0	2.6384	NA	NA
JSZG01000104.1	14669	No terminal repeats	14	11	0.9769	NA	0	2.5599	NA	NA
JSZG01000253.1	3413	No terminal repeats	4	11	0.9694	NA	0	0.9075	NA	NA
JSZG01000206.1	5996	No terminal repeats	7	11	0.9620	NA	0	1.2331	NA	NA
JSZG01000162.1	9853	No terminal repeats	9	11	0.9428	NA	0	1.4793	NA	NA
JSZG01000052.1	22753	No terminal repeats	13	11	0.9384	NA	0	0.7803	NA	NA
JSZG01000137.1	11823	No terminal repeats	10	11	0.9204	NA	0	0.4932	NA	NA
JSZG01000179.1	8520	No terminal repeats	6	11	0.9151	NA	0	0.3959	NA	NA
JSZG01000257.1	3583	No terminal repeats	7	11	0.8759	NA	0	0.5335	NA	NA
JSZG01000049.1	23162	No terminal repeats	20	11	0.8051	NA	0	1.1428	NA	NA
