#Duplication rate	Coverage
1.0	918626.0
2.0	325526.0
3.0	134485.0
4.0	61504.0
5.0	31005.0
6.0	16909.0
7.0	9520.0
8.0	5671.0
9.0	3499.0
10.0	2241.0
11.0	1446.0
12.0	1026.0
13.0	728.0
14.0	463.0
15.0	331.0
16.0	265.0
17.0	193.0
18.0	154.0
19.0	94.0
20.0	92.0
21.0	60.0
22.0	61.0
23.0	36.0
24.0	35.0
25.0	28.0
26.0	21.0
27.0	25.0
28.0	16.0
29.0	21.0
30.0	13.0
31.0	11.0
32.0	16.0
33.0	8.0
34.0	6.0
35.0	10.0
36.0	7.0
37.0	2.0
38.0	6.0
39.0	9.0
40.0	5.0
41.0	3.0
42.0	6.0
43.0	3.0
44.0	5.0
45.0	3.0
46.0	1.0
47.0	3.0
48.0	3.0
49.0	3.0
50.0	114.0
