seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JBHJCL010000075.1	1591	No terminal repeats	2	11	1.0000	NA	1	2.8437	MOBH	NA
JBHJCL010000054.1	7853	No terminal repeats	11	11	1.0000	NA	0	2.0162	NA	NA
JBHJCL010000060.1	6245	No terminal repeats	8	11	1.0000	NA	0	4.2600	NA	NA
JBHJCL010000048.1	12826	No terminal repeats	18	11	1.0000	NA	0	3.7839	NA	NA
JBHJCL010000045.1	14116	No terminal repeats	17	11	1.0000	NA	3	10.1142	MOBP1;T_virB5	NA
JBHJCL010000055.1	7565	No terminal repeats	9	11	1.0000	NA	1	7.1485	NA	NA
JBHJCL010000049.1	12126	No terminal repeats	13	11	1.0000	NA	2	6.8731	B_traI;T_virB6	NA
JBHJCL010000056.1	6937	No terminal repeats	11	11	1.0000	NA	1	2.7002	NA	NA
JBHJCL010000064.1	4733	No terminal repeats	4	11	1.0000	NA	0	5.0569	NA	NA
JBHJCL010000047.1	13680	No terminal repeats	16	11	1.0000	NA	5	10.2921	t4cp2;T_virB9;T_virB8;T_virB6	NA
JBHJCL010000062.1	6087	No terminal repeats	7	11	1.0000	NA	0	2.1428	NA	NA
JBHJCL010000050.1	11322	No terminal repeats	16	11	1.0000	NA	5	9.4377	T_virB5;virb4;T_virB3;T_virB1	NA
JBHJCL010000044.1	14813	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JBHJCL010000037.1	31060	No terminal repeats	38	11	1.0000	NA	10	16.5936	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB3;T_virB2	NA
JBHJCL010000053.1	8083	No terminal repeats	9	11	0.9999	NA	0	4.7097	NA	NA
JBHJCL010000033.1	39719	No terminal repeats	31	11	0.9999	NA	0	6.3270	NA	NA
JBHJCL010000031.1	43732	No terminal repeats	29	11	0.9998	NA	0	3.8854	NA	NA
JBHJCL010000026.1	62526	No terminal repeats	58	11	0.9971	NA	0	0.6677	NA	NA
JBHJCL010000061.1	6216	No terminal repeats	8	11	0.9877	NA	3	4.3174	virb4;T_virB3;T_virB2	NA
JBHJCL010000051.1	10548	No terminal repeats	8	11	0.9784	NA	0	0.3959	NA	NA
