seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJIVX010000033.1	2590	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJIVX010000038.1	6243	No terminal repeats	8	11	1.0000	NA	0	4.2600	NA	NA
JAJIVX010000066.1	10357	No terminal repeats	14	11	1.0000	NA	0	4.2103	NA	NA
JAJIVX010000104.1	14813	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JAJIVX010000001.1	31328	No terminal repeats	41	11	1.0000	NA	11	25.6300	T_virB6;T_virB5;virb4;t4cp2;T_virB1;T_virB10;T_virB9;T_virB6	NA
JAJIVX010000119.1	13735	No terminal repeats	15	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JAJIVX010000086.1	30910	No terminal repeats	36	11	1.0000	NA	10	22.1400	T_virB1;T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;t4cp2	NA
JAJIVX010000014.1	6312	No terminal repeats	8	11	1.0000	NA	0	2.1428	NA	NA
JAJIVX010000094.1	8301	No terminal repeats	12	11	1.0000	NA	1	2.7002	NA	NA
JAJIVX010000046.1	10575	No terminal repeats	10	11	0.9999	NA	1	8.5656	NA	NA
JAJIVX010000007.1	38501	No terminal repeats	53	11	0.9999	NA	11	17.4228	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB3;T_virB2;I_traV	NA
JAJIVX010000071.1	12158	No terminal repeats	10	11	0.9999	NA	0	4.9816	NA	NA
JAJIVX010000112.1	7012	No terminal repeats	7	11	0.9998	NA	0	6.7752	NA	NA
JAJIVX010000013.1	159055	No terminal repeats	174	11	0.9998	NA	8	34.4628	I_trbA;I_traW;I_traY;I_traK;I_traI;I_traM;I_traN;traU	NF000272
JAJIVX010000059.1	39715	No terminal repeats	31	11	0.9997	NA	0	6.3270	NA	NA
JAJIVX010000031.1	7823	No terminal repeats	8	11	0.9996	NA	2	5.1548	T_virB6;T_virB6	NA
JAJIVX010000027.1	7113	No terminal repeats	5	11	0.9984	NA	0	1.3109	NA	NA
JAJIVX010000045.1	20585	No terminal repeats	19	11	0.9910	NA	0	0.3959	NA	NA
JAJIVX010000092.1	11539	No terminal repeats	9	11	0.9808	NA	1	1.5582	NA	NA
JAJIVX010000070.1	15592	No terminal repeats	15	11	0.9750	NA	0	3.2741	NA	NA
JAJIVX010000113.1	11619	No terminal repeats	9	11	0.9430	NA	0	0.8983	NA	NA
