#Duplication rate	Coverage
1.0	14721.0
2.0	8762.0
3.0	5582.0
4.0	3699.0
5.0	2628.0
6.0	1876.0
7.0	1343.0
8.0	1038.0
9.0	801.0
10.0	661.0
11.0	521.0
12.0	411.0
13.0	311.0
14.0	253.0
15.0	218.0
16.0	195.0
17.0	168.0
18.0	146.0
19.0	120.0
20.0	108.0
21.0	77.0
22.0	66.0
23.0	70.0
24.0	49.0
25.0	46.0
26.0	39.0
27.0	40.0
28.0	29.0
29.0	30.0
30.0	19.0
31.0	14.0
32.0	23.0
33.0	13.0
34.0	12.0
35.0	9.0
36.0	14.0
37.0	8.0
38.0	8.0
39.0	7.0
40.0	9.0
41.0	6.0
42.0	7.0
43.0	8.0
44.0	5.0
45.0	6.0
46.0	3.0
47.0	3.0
48.0	9.0
49.0	5.0
50.0	80.0
