#Duplication rate	Coverage
1.0	972819.0
2.0	376239.0
3.0	168015.0
4.0	82814.0
5.0	44253.0
6.0	25135.0
7.0	14836.0
8.0	9318.0
9.0	5845.0
10.0	3928.0
11.0	2524.0
12.0	1742.0
13.0	1142.0
14.0	924.0
15.0	626.0
16.0	504.0
17.0	330.0
18.0	295.0
19.0	204.0
20.0	163.0
21.0	140.0
22.0	119.0
23.0	81.0
24.0	66.0
25.0	50.0
26.0	45.0
27.0	41.0
28.0	35.0
29.0	28.0
30.0	25.0
31.0	30.0
32.0	26.0
33.0	12.0
34.0	15.0
35.0	9.0
36.0	11.0
37.0	12.0
38.0	10.0
39.0	6.0
40.0	6.0
41.0	9.0
42.0	9.0
43.0	7.0
44.0	4.0
45.0	3.0
46.0	5.0
47.0	6.0
48.0	6.0
49.0	9.0
50.0	193.0
