#Mapping quality	mapping quality
1.0	29.0
2.0	111.0
3.0	696.0
4.0	282.0
5.0	186.0
6.0	189.0
7.0	98.0
8.0	47.0
9.0	267.0
10.0	144.0
11.0	149.0
12.0	48.0
13.0	157.0
14.0	348.0
15.0	634.0
16.0	245.0
17.0	377.0
18.0	454.0
19.0	354.0
20.0	480.0
21.0	446.0
22.0	493.0
23.0	462.0
24.0	573.0
25.0	320.0
26.0	485.0
27.0	968.0
28.0	726.0
29.0	803.0
30.0	845.0
31.0	1502.0
32.0	1173.0
33.0	1319.0
34.0	1662.0
35.0	1501.0
36.0	2062.0
37.0	3061.0
38.0	3296.0
39.0	3499.0
40.0	12930.0
41.0	983.0
42.0	973.0
43.0	1003.0
44.0	1002.0
45.0	1193.0
46.0	1197.0
47.0	1484.0
48.0	1556.0
49.0	1724.0
50.0	1611.0
51.0	1668.0
52.0	1947.0
53.0	2593.0
54.0	2839.0
55.0	3070.0
56.0	3256.0
57.0	4187.0
58.0	6542.0
59.0	193905.0
60.0	4757138.0
