#Coverage (X)	Coverage
1.0	91.52395628946232
2.0	91.45483132927916
3.0	91.41705077502861
4.0	91.39743324950584
5.0	91.37530671701165
6.0	91.35661643319568
7.0	91.34338051236104
8.0	91.33059912177484
9.0	91.3163632343936
10.0	91.30514542786204
11.0	91.29636390346214
12.0	91.28740056696284
13.0	91.27601912954185
14.0	91.26618309496556
15.0	91.25829244985259
16.0	91.25127450281663
17.0	91.24322022681423
18.0	91.23692952817578
19.0	91.22938432605164
20.0	91.22156640577842
21.0	91.21511207625053
22.0	91.20783959227546
23.0	91.20036711499105
24.0	91.19327644311535
25.0	91.18794934860361
26.0	91.18225862989311
27.0	91.17674972328199
28.0	91.1706408367429
29.0	91.16385924543614
30.0	91.15678675477038
31.0	91.15147784146858
32.0	91.14518714283012
33.0	91.13826010184385
34.0	91.1317148662663
35.0	91.1244423822912
36.0	91.11578812636085
37.0	91.11107919298699
38.0	91.10553392395599
39.0	91.10058863485294
40.0	91.095316083971
41.0	91.08993444582944
42.0	91.0840800962295
43.0	91.0774257733923
44.0	91.07091690023461
45.0	91.06586252387193
46.0	91.06008089911174
47.0	91.0549537979093
48.0	91.0481540253926
49.0	91.04195423280385
50.0	91.03617260804366
51.0	91.03031825844371
