#Duplication rate	Coverage
1.0	1437906.0
2.0	814327.0
3.0	404413.0
4.0	186909.0
5.0	82485.0
6.0	35403.0
7.0	15564.0
8.0	6839.0
9.0	3298.0
10.0	1619.0
11.0	938.0
12.0	563.0
13.0	392.0
14.0	261.0
15.0	193.0
16.0	120.0
17.0	85.0
18.0	63.0
19.0	69.0
20.0	44.0
21.0	44.0
22.0	38.0
23.0	23.0
24.0	24.0
25.0	13.0
26.0	17.0
27.0	10.0
28.0	20.0
29.0	12.0
30.0	16.0
31.0	13.0
32.0	11.0
33.0	9.0
34.0	9.0
35.0	7.0
36.0	6.0
37.0	8.0
38.0	4.0
39.0	7.0
40.0	3.0
41.0	6.0
42.0	6.0
43.0	8.0
44.0	2.0
45.0	6.0
46.0	4.0
47.0	7.0
48.0	5.0
49.0	5.0
50.0	300.0
