Genome	Gaps	Linear Coverage
20HP1591_contig	270611	0.949
20HP1594_contig	315452	0.941
20HP1597_contig	271336	0.949
20HP1608_1_contig	280461	0.947
20HP1608_2_contig	280577	0.947
20HP1609_2_contig	280463	0.947
20HP1613_contig	264725	0.950
20HP1614_contig	280468	0.947
20HP1615_contig	271350	0.949
62XEKK5_contig	310347	0.942
65XENP1_contig	271655	0.949
65XENP2_contig	271807	0.949
65XENP3_contig	271639	0.949
66b_contig	315848	0.941
69_1_contig	287502	0.946
69_24_contig	163274	0.969
70_7_contig	210551	0.960
71_21_contig	340853	0.936
72_7_contig	247432	0.953
75_3_contig	246821	0.954
80_5_contig	278692	0.948
83M_contig	314328	0.941
85_10_contig	311586	0.941
85_16_contig	366199	0.931
86_22_contig	333206	0.937
86_2_contig	231030	0.957
86_46_contig	118642	0.978
87_13_contig	281387	0.947
87_21_contig	282936	0.947
87_47_contig	245509	0.954
87_7_contig	251363	0.953
89_10_contig	278084	0.948
89_16_contig	243558	0.954
90_13_contig	181812	0.966
ATCC_11633	24	1.000
DC99P1A1_contig	281884	0.947
DC99P1B1_contig	281696	0.947
DOA_1721_contig	315749	0.941
DOA_1726_contig	283665	0.947
DOA_2036_contig	307807	0.942
DOA_2983_contig	306627	0.942
DOA_2987_contig	284909	0.946
DOA_2989_contig	283542	0.947
DOA_2990_contig	265567	0.950
E3_contig	118465	0.978
FB570_contig	245077	0.954
LMG_27970_contig	290149	0.945
LMG_667_contig	254487	0.952
LMG_905_contig	327742	0.938
LMG_909_contig	308103	0.942
LMG_930_contig	147738	0.972
LMG_933_contig	313248	0.941
Ps_1_contig	308713	0.942
Ps_7_contig	248012	0.953
REPEATS	15435	0.997
Tabasco1_contig	272091	0.949
Tu_06_contig	311205	0.941
Tu_08_contig	309376	0.942
Tu_10_contig	312617	0.941
Tu_11_contig	309345	0.942
VTM10_contig	306313	0.942
VTM12_contig	277431	0.948
VTM15_contig	306278	0.942
VTM16_contig	280350	0.947
VTM17_contig	294799	0.945
VTM4_contig	285564	0.946
WHRI_8301_contig	245149	0.954
X13_contig	318700	0.940
X22_contig	317793	0.940
X31_contig	321937	0.939
X82_8P_C1_contig	214871	0.960
X82_8P_C2_contig	259416	0.951
X82_8P_C3_contig	215641	0.959
X82_8P_C4_contig	214930	0.960
X82_8P_C5_contig	214870	0.960
X82_8P_C6_contig	214898	0.960
X82_8P_contig	277103	0.948
XCVCP_C_43_contig	310418	0.942
XCVCP_C_51_contig	310879	0.942
XCVKK_C_1_contig	310714	0.942
XCVKK_C_2_contig	309770	0.942
XCVKK_C_3_contig	309763	0.942
XCVKK_C_4_contig	310418	0.942
XCVKK_C_5_contig	309763	0.942
XVP26_contig	356693	0.933
XVP_102_contig	271282	0.949
XVP_104_contig	271605	0.949
XVP_112_contig	242578	0.954
XVP_128_contig	123893	0.977
XVP_139_contig	294566	0.945
XVP_155_contig	124057	0.977
XVP_156_contig	123894	0.977
XVP_157_contig	124039	0.977
XVP_158_contig	125791	0.976
XVP_160_contig	123908	0.977
XVP_161_contig	125694	0.976
XVP_162_contig	126001	0.976
XVP_163_contig	123891	0.977
XVP_164_contig	123933	0.977
XVP_165_contig	320305	0.940
XVP_166_contig	249343	0.953
XVP_168_contig	273593	0.949
XVP_170_contig	216917	0.959
XVP_174_contig	216855	0.959
XVP_178_contig	242548	0.954
XVP_179_contig	249348	0.953
XVP_181_contig	249355	0.953
XVP_183_contig	279304	0.947
XVP_187_contig	242575	0.954
XVP_189_contig	291889	0.945
XVP_192_contig	282260	0.947
XVP_194_contig	294566	0.945
XVP_195_contig	294817	0.945
XVP_207_contig	299799	0.944
XVP_216_contig	249134	0.953
XVP_220_contig	249313	0.953
XVP_222_contig	315250	0.941
XVP_224_contig	276917	0.948
XVP_226_contig	269501	0.949
XVP_228_contig	196773	0.963
XVP_232_contig	242559	0.954
XVP_234_contig	242912	0.954
XVP_235_contig	242549	0.954
XVP_238_contig	282303	0.947
XVP_240_contig	305793	0.942
XVP_242_contig	308477	0.942
XVP_251_contig	248984	0.953
XVP_253_contig	250143	0.953
XVP_255_contig	242980	0.954
XVP_257_contig	242957	0.954
XVP_259_contig	306655	0.942
XVP_25_contig	123446	0.977
XVP_262_contig	308537	0.942
XVP_275_contig	282887	0.947
XVP_278_contig	339690	0.936
XVP_281_contig	339819	0.936
XVP_285_contig	339819	0.936
XVP_287_contig	242910	0.954
XVP_290_contig	283426	0.947
XVP_295_contig	249439	0.953
XVP_304_contig	223957	0.958
XVP_306_contig	282887	0.947
XVP_310_contig	308537	0.942
XVP_312_contig	340246	0.936
XVP_318_contig	314968	0.941
XVP_320_contig	315099	0.941
XVP_40_contig	283343	0.947
XVP_42_contig	242747	0.954
XVP_51_contig	242773	0.954
XVP_56_contig	324630	0.939
XVP_66_contig	242548	0.954
XVP_71_contig	243153	0.954
XVP_77_contig	242549	0.954
XVP_81_contig	242567	0.954
XVP_82_contig	271281	0.949
XVP_88_contig	295487	0.944
XVP_91_contig	124222	0.977
XVP_96_contig	214107	0.960
XVP_99_contig	242606	0.954
Xcv_DC_93_6_contig	244380	0.954
Xcv_DC_93_7_contig	329444	0.938
Xcv_DC_93_8_contig	330272	0.938
Xcv_DC_93_9_contig	329897	0.938
Xcv_DC_96_1_contig	244104	0.954
Xcv_DC_96_2_contig	278271	0.948
Xcv_DC_96_3_contig	317601	0.940
Xcv_DC_96_4_contig	244982	0.954
Xcv_DC_96_5_contig	315318	0.941
Xcv_DC_97_P1A_contig	314098	0.941
Xcv_DC_97_P2A_contig	309534	0.942
Xcv_DC_97_P3A_contig	308763	0.942
Xcv_DC_98_P2A_contig	247450	0.953
Xcv_Sspep_92_contig	307896	0.942
Xe173_contig	327370	0.938
Xv157_contig	276721	0.948
Xv_72_contig	248565	0.953
Xv_79_contig	274502	0.948
