#Duplication rate	Coverage
1.0	996245.0
2.0	397559.0
3.0	182185.0
4.0	92324.0
5.0	50414.0
6.0	29128.0
7.0	17409.0
8.0	11029.0
9.0	6868.0
10.0	4647.0
11.0	3119.0
12.0	2158.0
13.0	1538.0
14.0	1047.0
15.0	825.0
16.0	633.0
17.0	420.0
18.0	364.0
19.0	275.0
20.0	200.0
21.0	181.0
22.0	143.0
23.0	128.0
24.0	85.0
25.0	80.0
26.0	54.0
27.0	51.0
28.0	42.0
29.0	44.0
30.0	28.0
31.0	28.0
32.0	28.0
33.0	13.0
34.0	23.0
35.0	16.0
36.0	24.0
37.0	19.0
38.0	11.0
39.0	12.0
40.0	9.0
41.0	14.0
42.0	4.0
43.0	11.0
44.0	9.0
45.0	6.0
46.0	7.0
47.0	7.0
48.0	8.0
49.0	5.0
50.0	214.0
