#Duplication rate	Coverage
1.0	1424878.0
2.0	811317.0
3.0	406956.0
4.0	190214.0
5.0	84192.0
6.0	37014.0
7.0	16341.0
8.0	7671.0
9.0	3587.0
10.0	1967.0
11.0	1081.0
12.0	693.0
13.0	511.0
14.0	327.0
15.0	278.0
16.0	150.0
17.0	135.0
18.0	118.0
19.0	79.0
20.0	73.0
21.0	55.0
22.0	59.0
23.0	22.0
24.0	27.0
25.0	26.0
26.0	24.0
27.0	17.0
28.0	14.0
29.0	19.0
30.0	12.0
31.0	13.0
32.0	9.0
33.0	9.0
34.0	10.0
35.0	7.0
36.0	13.0
37.0	7.0
38.0	9.0
39.0	12.0
40.0	7.0
41.0	6.0
42.0	6.0
43.0	3.0
44.0	6.0
45.0	2.0
46.0	4.0
47.0	6.0
48.0	5.0
49.0	4.0
50.0	318.0
