JBHJCE010000002.1_270 # 294584 # 295675 # 1 # ID=2_270;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.679	TIGR02225	5.438E-118	371
JBHJCE010000012.1_142 # 161470 # 162717 # 1 # ID=12_142;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.500	PF00589.RP35	5.580E-14	64
JBHJCE010000017.1_62 # 67636 # 68862 # 1 # ID=17_62;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.673	PRK09692	6.354E-75	248
JBHJCE010000004.1_66 # 86314 # 87528 # -1 # ID=4_66;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.613	PRK09692	1.296E-73	244
JBHJCE010000004.1_194 # 233306 # 234508 # 1 # ID=4_194;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.628	PRK09692	3.646E-45	160
JBHJCE010000012.1_1 # 2 # 1309 # -1 # ID=12_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;genetic_code=11;gc_cont=0.569	PF00589.RP35	1.537E-10	53
JBHJCE010000041.1_16 # 18243 # 19190 # -1 # ID=41_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.651	TIGR02249	8.339E-153	469
JBHJCE010000017.1_101 # 111963 # 113246 # 1 # ID=17_101;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.606	PRK09692	1.386E-52	183
JBHJCE010000009.1_154 # 163938 # 165239 # 1 # ID=9_154;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.502	PF00589.RP35	5.162E-13	61
JBHJCE010000021.1_65 # 76516 # 77433 # 1 # ID=21_65;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.669	COG4973	2.520E-126	392
