Genome	Length(bp)
Xe173	5354628
20HP1591_contig	5172010
20HP1594_contig	5118161
20HP1597_contig	5252383
20HP1608_1_contig	5228540
20HP1608_2_contig	5228059
20HP1614_contig	5227819
20HP1615_contig	5252294
62XEKK5_contig	5170289
66b_contig	5306942
69_1_contig	5183224
87_13_contig	5316849
87_7_contig	5314166
90_13_contig	5421015
DC99P1A1_contig	5302797
DC99P1B1_contig	5306535
DOA_1721_contig	5116900
DOA_1726_contig	5151691
DOA_2036_contig	5132190
DOA_2983_contig	5135106
DOA_2987_contig	5154187
DOA_2989_contig	5156912
Tu_10_contig	5126504
VTM10_contig	5172799
VTM12_contig	5193250
VTM15_contig	5172604
VTM16_contig	5244360
VTM4_contig	5176495
X13_contig	5279639
X22_contig	5099034
X31_contig	5095014
XCVCP_C_43_contig	5169260
XCVCP_C_51_contig	5127097
XCVKK_C_1_contig	5127467
XCVKK_C_2_contig	5172103
XCVKK_C_3_contig	5172475
XCVKK_C_4_contig	5169790
XCVKK_C_5_contig	5173074
Xcv_DC_96_3_contig	5098207
Xcv_DC_96_5_contig	5101524
Xcv_DC_97_P1A_contig	5256227
