Genome	Gaps	Linear Coverage
20HP1591_contig	174003	0.968
20HP1594_contig	177615	0.967
20HP1597_contig	172796	0.968
20HP1608_1_contig	185917	0.965
20HP1608_2_contig	185355	0.965
20HP1614_contig	185918	0.965
20HP1615_contig	172999	0.968
62XEKK5_contig	176382	0.967
66b_contig	30828	0.994
69_1_contig	220223	0.959
87_13_contig	26036	0.995
87_7_contig	73904	0.986
90_13_contig	43320	0.992
DC99P1A1_contig	29116	0.995
DC99P1B1_contig	28163	0.995
DOA_1721_contig	179403	0.966
DOA_1726_contig	177102	0.967
DOA_2036_contig	175624	0.967
DOA_2983_contig	169431	0.968
DOA_2987_contig	174477	0.967
DOA_2989_contig	170300	0.968
REPEATS	124508	0.977
Tu_10_contig	184775	0.965
VTM10_contig	168765	0.968
VTM12_contig	168612	0.969
VTM15_contig	168732	0.968
VTM16_contig	178034	0.967
VTM4_contig	177117	0.967
X13_contig	53065	0.990
X22_contig	198205	0.963
X31_contig	204743	0.962
XCVCP_C_43_contig	176511	0.967
XCVCP_C_51_contig	176595	0.967
XCVKK_C_1_contig	176183	0.967
XCVKK_C_2_contig	175793	0.967
XCVKK_C_3_contig	175776	0.967
XCVKK_C_4_contig	176367	0.967
XCVKK_C_5_contig	175779	0.967
Xcv_DC_96_3_contig	202440	0.962
Xcv_DC_96_5_contig	197368	0.963
Xcv_DC_97_P1A_contig	42505	0.992
