#Mapping quality	mapping quality
1.0	425.0
2.0	142.0
3.0	40.0
4.0	7.0
5.0	1.0
6.0	5.0
7.0	376.0
17.0	3.0
18.0	24.0
19.0	168.0
20.0	51.0
21.0	42.0
22.0	50.0
23.0	10.0
24.0	60.0
25.0	24.0
26.0	25.0
27.0	6.0
28.0	34.0
29.0	24.0
30.0	54.0
31.0	53.0
32.0	86.0
33.0	121.0
34.0	189.0
35.0	136.0
36.0	46.0
37.0	62.0
38.0	53.0
39.0	113.0
40.0	93.0
41.0	66.0
42.0	48.0
43.0	30.0
44.0	36.0
45.0	36.0
46.0	28.0
47.0	28.0
48.0	30.0
49.0	40.0
50.0	55.0
51.0	43.0
52.0	62.0
53.0	92.0
54.0	53.0
55.0	141.0
56.0	184.0
57.0	212.0
58.0	632.0
59.0	8630.0
60.0	152991.0
