#Insert size (bp)	insert size
2.0	1.0
3.0	4.0
4.0	3.0
5.0	2.0
7.0	2.0
8.0	2.0
9.0	8.0
10.0	2.0
14.0	1.0
15.0	1.0
16.0	2.0
19.0	80.0
20.0	47.0
21.0	11.0
22.0	20.0
23.0	1.0
24.0	3.0
25.0	3.0
26.0	4.0
27.0	18.0
28.0	6.0
29.0	10.0
30.0	7.0
31.0	7.0
32.0	17.0
33.0	17.0
34.0	20.0
35.0	28.0
36.0	30.0
37.0	22.0
38.0	16.0
39.0	19.0
40.0	19.0
41.0	23.0
42.0	19.0
43.0	22.0
44.0	29.0
45.0	23.0
46.0	42.0
47.0	14.0
48.0	24.0
49.0	11.0
50.0	33.0
51.0	26.0
52.0	37.0
53.0	20.0
54.0	27.0
55.0	51.0
56.0	21.0
57.0	29.0
58.0	20.0
59.0	19.0
60.0	26.0
61.0	31.0
62.0	41.0
63.0	49.0
64.0	36.0
65.0	38.0
66.0	30.0
67.0	18.0
68.0	24.0
69.0	18.0
70.0	27.0
71.0	33.0
72.0	22.0
73.0	35.0
74.0	30.0
75.0	46.0
76.0	28.0
77.0	57.0
78.0	20.0
79.0	18.0
80.0	24.0
81.0	37.0
82.0	41.0
83.0	42.0
84.0	39.0
85.0	49.0
86.0	64.0
87.0	26.0
88.0	29.0
89.0	23.0
90.0	22.0
91.0	40.0
92.0	45.0
93.0	43.0
94.0	42.0
95.0	51.0
96.0	43.0
97.0	41.0
98.0	48.0
99.0	32.0
100.0	45.0
101.0	28.0
102.0	53.0
103.0	55.0
104.0	58.0
105.0	48.0
106.0	73.0
107.0	59.0
108.0	37.0
109.0	36.0
110.0	38.0
111.0	58.0
112.0	45.0
113.0	55.0
114.0	55.0
115.0	49.0
116.0	56.0
117.0	73.0
118.0	49.0
119.0	53.0
120.0	35.0
121.0	46.0
122.0	55.0
123.0	54.0
124.0	77.0
125.0	74.0
126.0	92.0
127.0	67.0
128.0	74.0
129.0	46.0
130.0	58.0
131.0	51.0
132.0	63.0
133.0	85.0
134.0	71.0
135.0	80.0
136.0	82.0
137.0	81.0
138.0	60.0
139.0	66.0
140.0	53.0
141.0	61.0
142.0	68.0
143.0	61.0
144.0	90.0
145.0	79.0
146.0	97.0
147.0	90.0
148.0	86.0
149.0	87.0
150.0	70.0
151.0	59.0
152.0	59.0
153.0	65.0
154.0	78.0
155.0	79.0
156.0	102.0
157.0	95.0
158.0	102.0
159.0	103.0
160.0	101.0
161.0	65.0
162.0	68.0
163.0	87.0
164.0	70.0
165.0	83.0
166.0	86.0
167.0	114.0
168.0	109.0
169.0	81.0
170.0	116.0
171.0	88.0
172.0	98.0
173.0	97.0
174.0	108.0
175.0	93.0
176.0	109.0
177.0	123.0
178.0	130.0
179.0	123.0
180.0	121.0
181.0	116.0
182.0	97.0
183.0	86.0
184.0	139.0
185.0	110.0
186.0	124.0
187.0	127.0
188.0	135.0
189.0	150.0
190.0	143.0
191.0	132.0
192.0	132.0
193.0	147.0
194.0	131.0
195.0	112.0
196.0	132.0
197.0	147.0
198.0	176.0
199.0	155.0
200.0	163.0
201.0	148.0
202.0	147.0
203.0	154.0
204.0	132.0
205.0	162.0
206.0	139.0
207.0	181.0
208.0	165.0
209.0	209.0
210.0	199.0
211.0	165.0
212.0	144.0
213.0	190.0
214.0	163.0
215.0	165.0
216.0	156.0
217.0	178.0
218.0	188.0
219.0	196.0
220.0	182.0
221.0	185.0
222.0	190.0
223.0	177.0
224.0	183.0
225.0	171.0
226.0	187.0
227.0	208.0
228.0	200.0
229.0	259.0
230.0	206.0
231.0	235.0
232.0	196.0
233.0	213.0
234.0	188.0
235.0	162.0
236.0	188.0
237.0	177.0
238.0	210.0
239.0	226.0
240.0	249.0
241.0	229.0
242.0	239.0
243.0	211.0
244.0	234.0
245.0	232.0
246.0	226.0
247.0	226.0
248.0	241.0
249.0	269.0
250.0	271.0
251.0	259.0
252.0	252.0
253.0	244.0
254.0	245.0
255.0	248.0
256.0	262.0
257.0	240.0
258.0	262.0
259.0	252.0
260.0	293.0
261.0	293.0
262.0	285.0
263.0	225.0
264.0	237.0
265.0	272.0
266.0	249.0
267.0	251.0
268.0	231.0
269.0	272.0
270.0	311.0
271.0	306.0
272.0	311.0
273.0	284.0
274.0	274.0
275.0	285.0
276.0	254.0
277.0	264.0
278.0	314.0
279.0	273.0
280.0	288.0
281.0	293.0
282.0	311.0
283.0	329.0
284.0	294.0
285.0	271.0
286.0	316.0
287.0	242.0
288.0	315.0
289.0	290.0
290.0	285.0
291.0	298.0
292.0	345.0
293.0	347.0
294.0	316.0
295.0	298.0
296.0	309.0
297.0	309.0
298.0	302.0
299.0	301.0
300.0	264.0
301.0	341.0
302.0	294.0
303.0	308.0
304.0	333.0
305.0	297.0
306.0	336.0
307.0	299.0
308.0	299.0
309.0	300.0
310.0	344.0
311.0	331.0
312.0	335.0
313.0	323.0
314.0	321.0
315.0	298.0
316.0	321.0
317.0	338.0
318.0	317.0
319.0	321.0
320.0	285.0
321.0	313.0
322.0	324.0
323.0	318.0
324.0	340.0
325.0	304.0
326.0	307.0
327.0	319.0
328.0	319.0
329.0	295.0
330.0	289.0
331.0	337.0
332.0	290.0
333.0	352.0
334.0	314.0
335.0	350.0
336.0	314.0
337.0	314.0
338.0	301.0
339.0	304.0
340.0	301.0
341.0	295.0
342.0	337.0
343.0	280.0
344.0	279.0
345.0	286.0
346.0	288.0
347.0	295.0
348.0	322.0
349.0	305.0
350.0	292.0
351.0	312.0
352.0	306.0
353.0	297.0
354.0	304.0
355.0	329.0
356.0	284.0
357.0	268.0
358.0	273.0
359.0	263.0
360.0	262.0
361.0	251.0
362.0	330.0
363.0	258.0
364.0	301.0
365.0	268.0
366.0	286.0
367.0	234.0
368.0	281.0
369.0	275.0
370.0	260.0
371.0	284.0
372.0	285.0
373.0	258.0
374.0	269.0
375.0	264.0
376.0	280.0
377.0	282.0
378.0	235.0
379.0	262.0
380.0	256.0
381.0	267.0
382.0	256.0
383.0	236.0
384.0	248.0
385.0	235.0
386.0	246.0
387.0	244.0
388.0	262.0
389.0	234.0
390.0	236.0
391.0	189.0
392.0	269.0
393.0	201.0
394.0	224.0
395.0	248.0
396.0	263.0
397.0	199.0
398.0	202.0
399.0	211.0
400.0	226.0
401.0	196.0
402.0	216.0
403.0	224.0
404.0	244.0
405.0	258.0
406.0	225.0
407.0	228.0
408.0	229.0
409.0	210.0
410.0	200.0
411.0	218.0
412.0	213.0
413.0	222.0
414.0	187.0
415.0	218.0
416.0	216.0
417.0	219.0
418.0	209.0
419.0	186.0
420.0	191.0
421.0	202.0
422.0	178.0
423.0	190.0
424.0	186.0
425.0	192.0
426.0	176.0
427.0	170.0
428.0	186.0
429.0	180.0
430.0	172.0
431.0	192.0
432.0	172.0
433.0	171.0
434.0	182.0
435.0	188.0
436.0	176.0
437.0	169.0
438.0	179.0
439.0	164.0
440.0	156.0
441.0	159.0
442.0	162.0
443.0	128.0
444.0	156.0
445.0	161.0
446.0	171.0
447.0	134.0
448.0	139.0
449.0	174.0
450.0	146.0
451.0	149.0
452.0	167.0
453.0	131.0
454.0	176.0
455.0	138.0
456.0	155.0
457.0	152.0
458.0	114.0
459.0	158.0
460.0	159.0
461.0	143.0
462.0	155.0
463.0	144.0
464.0	128.0
465.0	146.0
466.0	141.0
467.0	157.0
468.0	128.0
469.0	128.0
470.0	122.0
471.0	120.0
472.0	105.0
473.0	117.0
474.0	119.0
475.0	104.0
476.0	115.0
477.0	110.0
478.0	141.0
479.0	125.0
480.0	130.0
481.0	108.0
482.0	105.0
483.0	107.0
484.0	111.0
485.0	110.0
486.0	111.0
487.0	119.0
488.0	118.0
489.0	90.0
490.0	95.0
491.0	120.0
492.0	107.0
493.0	90.0
494.0	89.0
495.0	98.0
496.0	102.0
497.0	96.0
498.0	104.0
499.0	87.0
500.0	92.0
501.0	101.0
502.0	99.0
503.0	109.0
504.0	87.0
505.0	99.0
506.0	82.0
507.0	92.0
508.0	96.0
509.0	77.0
510.0	87.0
511.0	86.0
512.0	82.0
513.0	95.0
514.0	83.0
515.0	67.0
516.0	80.0
517.0	67.0
518.0	88.0
519.0	73.0
520.0	76.0
521.0	84.0
522.0	78.0
523.0	74.0
524.0	85.0
525.0	92.0
526.0	53.0
527.0	79.0
528.0	79.0
529.0	80.0
530.0	78.0
531.0	69.0
532.0	77.0
533.0	71.0
534.0	73.0
535.0	59.0
536.0	79.0
537.0	69.0
538.0	61.0
539.0	80.0
540.0	79.0
541.0	70.0
542.0	65.0
543.0	52.0
544.0	67.0
545.0	76.0
546.0	61.0
547.0	66.0
548.0	66.0
549.0	57.0
550.0	58.0
551.0	57.0
552.0	60.0
553.0	54.0
554.0	65.0
555.0	52.0
556.0	52.0
