#Mapping quality	mapping quality
4.0	14.0
5.0	34.0
6.0	11.0
7.0	65.0
8.0	21.0
9.0	14.0
10.0	17.0
11.0	165.0
12.0	209.0
13.0	300.0
14.0	243.0
15.0	271.0
16.0	96.0
17.0	82.0
18.0	156.0
19.0	134.0
20.0	194.0
21.0	250.0
22.0	164.0
23.0	220.0
24.0	205.0
25.0	125.0
26.0	106.0
27.0	219.0
28.0	187.0
29.0	78.0
30.0	84.0
31.0	59.0
32.0	55.0
33.0	41.0
34.0	20.0
35.0	66.0
36.0	126.0
37.0	190.0
38.0	467.0
39.0	615.0
40.0	259.0
41.0	13.0
42.0	25.0
43.0	17.0
44.0	16.0
45.0	34.0
46.0	60.0
47.0	59.0
48.0	46.0
49.0	85.0
50.0	56.0
51.0	102.0
52.0	85.0
53.0	69.0
54.0	85.0
55.0	99.0
56.0	216.0
57.0	429.0
58.0	772.0
59.0	12832.0
60.0	53972.0
