#Mapping quality	mapping quality
1.0	6.0
2.0	132.0
3.0	1033.0
4.0	197.0
5.0	769.0
6.0	196.0
7.0	180.0
8.0	121.0
9.0	346.0
10.0	35.0
11.0	235.0
12.0	283.0
13.0	98.0
14.0	80.0
15.0	282.0
16.0	412.0
17.0	447.0
18.0	193.0
19.0	491.0
20.0	181.0
21.0	426.0
22.0	407.0
23.0	345.0
24.0	619.0
25.0	155.0
26.0	381.0
27.0	1255.0
28.0	550.0
29.0	730.0
30.0	828.0
31.0	1605.0
32.0	1311.0
33.0	1328.0
34.0	1495.0
35.0	1672.0
36.0	2007.0
37.0	3215.0
38.0	2503.0
39.0	2625.0
40.0	16792.0
41.0	917.0
42.0	724.0
43.0	936.0
44.0	1025.0
45.0	1081.0
46.0	1103.0
47.0	1231.0
48.0	1376.0
49.0	1510.0
50.0	1821.0
51.0	1721.0
52.0	2168.0
53.0	2362.0
54.0	2567.0
55.0	3389.0
56.0	3895.0
57.0	4336.0
58.0	5960.0
59.0	33675.0
60.0	4923784.0
