JAJIUJ010000105.1_tRNA1_Leu	60634	60713
JAJIUJ010000113.1_tRNA1_Glu	70005	70080
JAJIUJ010000113.1_tRNA2_Ala	70128	70203
JAJIUJ010000113.1_tRNA3_Glu	70953	71028
JAJIUJ010000113.1_tRNA4_Ala	71076	71151
JAJIUJ010000037.1_tRNA1_Ser	38949	39041
JAJIUJ010000037.1_tRNA2_Ser	125030	125119
JAJIUJ010000038.1_tRNA1_Leu	119048	119134
JAJIUJ010000053.1_tRNA1_Ser	19477	19567
JAJIUJ010000053.1_tRNA2_Asp	27256	27332
JAJIUJ010000053.1_tRNA3_Asp	27427	27503
JAJIUJ010000053.1_tRNA4_Val	27532	27606
JAJIUJ010000053.1_tRNA5_Leu	34345	34429
JAJIUJ010000053.1_tRNA6_Lys	36340	36415
JAJIUJ010000053.1_tRNA7_His	36509	36585
JAJIUJ010000053.1_tRNA8_Arg	36618	36694
JAJIUJ010000053.1_tRNA9_Pro	36737	36813
JAJIUJ010000068.1_tRNA1_Met	75132	75207
JAJIUJ010000069.1_tRNA1_Phe	29359	29434
JAJIUJ010000069.1_tRNA2_Pro	58030	58106
JAJIUJ010000069.1_tRNA3_Val	93349	93423
JAJIUJ010000069.1_tRNA4_Asn	96273	96349
JAJIUJ010000069.1_tRNA5_Met	125001	125077
JAJIUJ010000069.1_tRNA6_Leu	140204	140288
