# packages in environment at /data/djs217/miniconda3/envs/bioperl_env:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
alsa-lib                  1.2.6.1              h7f98852_0    conda-forge
anndata                   0.8.0              pyhd8ed1ab_1    conda-forge
anyio                     3.7.1              pyhd8ed1ab_0    conda-forge
argtable2                 2.13              hd590300_1004    conda-forge
blas                      1.1                    openblas    conda-forge
blast                     2.16.0               hc155240_2    bioconda
blast-legacy              2.2.26               h9ee0642_4    bioconda
blosc                     1.21.5               hc2324a3_1    conda-forge
brotli                    1.1.0                hb9d3cd8_2    conda-forge
brotli-bin                1.1.0                hb9d3cd8_2    conda-forge
bzip2                     1.0.8                h4bc722e_7    conda-forge
c-ares                    1.34.3               hb9d3cd8_1    conda-forge
ca-certificates           2024.8.30            hbcca054_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cairo                     1.16.0               hb05425b_5  
certifi                   2024.8.30          pyhd8ed1ab_0    conda-forge
cffi                      1.15.1           py37h43b0acd_1    conda-forge
cloudpickle               2.2.1              pyhd8ed1ab_0    conda-forge
clustalo                  1.2.4                hdbdd923_8    bioconda
clustalw                  2.1                 h4ac6f70_10    bioconda
colorama                  0.4.6              pyhd8ed1ab_0    conda-forge
consan                    1.2                  h031d066_5    bioconda
cryptography              38.0.2           py37h38fbfac_1    conda-forge
curl                      7.87.0               h6312ad2_0    conda-forge
cycler                    0.11.0             pyhd8ed1ab_0    conda-forge
dbus                      1.13.18              hb2f20db_0  
dca                       0.3.4              pyhdfd78af_0    bioconda
dendropy                  5.0.1              pyhdfd78af_0    bioconda
dialign-tx                1.0.2                hec16e2b_5    bioconda
dnspython                 2.4.2              pyhd8ed1ab_0    conda-forge
dunamai                   1.22.0             pyhd8ed1ab_0    conda-forge
entrez-direct             22.4                 he881be0_0    bioconda
exceptiongroup            1.2.2              pyhd8ed1ab_0    conda-forge
expat                     2.6.4                h5888daf_0    conda-forge
famsa                     2.2.3                h4ac6f70_0    bioconda
fftw                      3.3.10          nompi_hf1063bd_110    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.14.2               h14ed4e7_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.38.0           py37h540881e_0    conda-forge
freetype                  2.12.1               h267a509_2    conda-forge
future                    0.18.2           py37h89c1867_5    conda-forge
get_version               3.5.4              pyhd8ed1ab_0    conda-forge
gettext                   0.22.5               he02047a_3    conda-forge
gettext-tools             0.22.5               he02047a_3    conda-forge
giflib                    5.2.2                hd590300_0    conda-forge
git                       2.39.1          pl5321ha3eba64_0    conda-forge
glib                      2.78.1               hfc55251_0    conda-forge
glib-tools                2.78.1               hfc55251_0    conda-forge
gmp                       6.3.0                hac33072_2    conda-forge
graphite2                 1.3.14               h295c915_1  
gst-plugins-base          1.14.1               h6a678d5_1  
gstreamer                 1.14.1               h5eee18b_1  
h11                       0.14.0             pyhd8ed1ab_0    conda-forge
