File	AvrBs1-WP_011037255.1	AvrBs2-WP_039418336.1	XopAA-WP_041855088.1	XopAK-WP_269466020.1	XopAP-WP_236504155.1	XopAU-WP_041855031.1	XopAX-WP_041854960.1	XopB-WP_039417318.1	XopBA-WP_227478587.1	XopC1-WP_011347616.1	XopD-WP_228949438.1	XopE1-WP_011345998.1	XopE2-WP_011347479.1	XopE3-WP_011052114.1	XopF1-WP_011346095.1	XopF2-WP_011348008.1	XopG1-WP_011346758.1	XopH1-WP_011345706.1	XopI1-WP_011346406.1	XopJ1-WP_011347382.1	XopJ2-WP_074052319.1	XopJ3-WP_011346137.1	XopL-WP_218498620.1	XopM-WP_011346113.1	XopN-WP_011348010.1	XopO-WP_011346566.1	XopQ-WP_011349176.1	XopS-WP_039418869.1	XopX-WP_011346212.1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1591.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	1	1	0.994659546061415	1	0.99135446685879	0.966292134831461	0.982142857142857	1	0	0	1	1	0	1	0.996428571428571	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1594.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	1	1	0.994659546061415	1	1	0.966292134831461	0.982142857142857	1	0	0	1	1	0	0	0.998214285714286	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1597.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	1	1	0.994659546061415	1	0	0.966292134831461	0.982142857142857	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1608-1.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	0.998	1	0.98931909212283	1	0	0.966292134831461	0.982142857142857	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1608-2.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	0.998	1	0.98931909212283	1	0	0.966292134831461	0.982142857142857	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1609-2.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	0.998	1	0.98931909212283	1	0	0.966292134831461	0.982142857142857	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1613.contig.tblastn	0	1	1	1	0.971830985915493	0.998091603053435	0	1	0	1	0.952503209242619	1	0.988472622478386	0	0.998507462686567	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	1	0.995260663507109	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1614.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	0.998	1	0.98931909212283	1	0	0.966292134831461	0.982142857142857	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.20HP1615.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	1	1	0.994659546061415	1	0.99135446685879	0.966292134831461	0.982142857142857	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.62XEKK5.contig.tblastn	0	1	0.998546511627907	1	0.971830985915493	0.998091603053435	0	1	1	0	0.986648865153538	0.9975	1	0.966292134831461	0.982142857142857	1	0	0	1	1	0	0	0.998214285714286	0.998011928429423	0.99181446111869	0	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.65XENP1.contig.tblastn	0	1	1	1	0.971830985915493	0.998091603053435	0	1	0	1	0.952503209242619	1	0.988472622478386	0	0.998507462686567	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	1	0.995260663507109	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.65XENP2.contig.tblastn	0	1	1	1	0.971830985915493	0.998091603053435	0	1	0	1	0.952503209242619	1	0.988472622478386	0	0.998507462686567	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	1	0.995260663507109	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.65XENP3.contig.tblastn	0	1	1	1	0.971830985915493	0.998091603053435	0	1	0	1	0.952503209242619	1	0.988472622478386	0	0.998507462686567	1	0	0	1	1	0	1	0.998214285714286	0.998011928429423	1	0.995260663507109	0.982758620689655	1	1
tblastn_versus_dokuwiki_effectors/euroxanth_effectors_2023-10-03.versus.66b.contig.tblastn	0	1	0.998546511627907	1	0	0.998091603053435	1	1	1	1	0.998664886515354	1	0	0.966292134831461	0.982142857142857	0	0	0	1	1	0	1	0.998214285714286	0.998011928429423	0.99181446111869	0	0	1	0
