#Coverage (X)	Coverage
1.0	91.6614244178013
2.0	91.58899047740948
3.0	91.52739253814055
4.0	91.48244858717453
5.0	91.43219572290673
6.0	91.39819686032322
7.0	91.36290713183413
8.0	91.3294718867587
9.0	91.2974547760584
10.0	91.2705465853506
11.0	91.2409839379919
12.0	91.21314850557727
13.0	91.18458582476514
14.0	91.16395015148584
15.0	91.13535110825383
16.0	91.10835201149634
17.0	91.07849846477863
18.0	91.04609954866964
19.0	91.0140097131296
20.0	90.97650187702811
21.0	90.93312151011675
22.0	90.88519584072097
23.0	90.832652144001
24.0	90.76576347264019
25.0	90.69191139787324
26.0	90.59226018620468
27.0	90.46415538098361
28.0	90.29432469895552
29.0	90.07229576319628
30.0	89.80074121156674
31.0	89.4492438798411
32.0	89.01282211649647
33.0	88.48211259841489
34.0	87.82497094642652
35.0	87.02228870888683
36.0	86.04250330534397
37.0	84.89014185707242
38.0	83.55069575854189
39.0	81.99331149648812
40.0	80.23900654959907
41.0	78.26910881526872
42.0	76.06040088840665
43.0	73.61190098367618
44.0	70.937135921271
45.0	68.05837768336477
46.0	64.98089882083946
47.0	61.760933816032335
48.0	58.38841027863795
49.0	54.95397972140568
50.0	51.46089658091438
51.0	47.93319641670169
