#Duplication rate	Coverage
1.0	659233.0
2.0	227910.0
3.0	88779.0
4.0	39020.0
5.0	18396.0
6.0	9258.0
7.0	4889.0
8.0	2758.0
9.0	1690.0
10.0	917.0
11.0	618.0
12.0	362.0
13.0	296.0
14.0	182.0
15.0	122.0
16.0	105.0
17.0	63.0
18.0	58.0
19.0	30.0
20.0	40.0
21.0	27.0
22.0	14.0
23.0	17.0
24.0	6.0
25.0	15.0
26.0	15.0
27.0	6.0
28.0	7.0
29.0	12.0
30.0	5.0
31.0	4.0
32.0	12.0
33.0	6.0
34.0	7.0
35.0	8.0
36.0	4.0
37.0	5.0
38.0	8.0
39.0	6.0
40.0	3.0
41.0	2.0
42.0	4.0
43.0	3.0
44.0	3.0
45.0	4.0
46.0	5.0
47.0	1.0
48.0	2.0
49.0	0.0
50.0	80.0
