#Insert size (bp)	insert size
9.0	1.0
19.0	204.0
20.0	38.0
21.0	50.0
22.0	24.0
24.0	8.0
25.0	1.0
26.0	7.0
27.0	12.0
28.0	21.0
29.0	39.0
30.0	37.0
31.0	37.0
32.0	77.0
33.0	126.0
34.0	128.0
35.0	132.0
36.0	88.0
37.0	64.0
38.0	56.0
39.0	97.0
40.0	103.0
41.0	183.0
42.0	239.0
43.0	315.0
44.0	386.0
45.0	359.0
46.0	227.0
47.0	125.0
48.0	105.0
49.0	138.0
50.0	155.0
51.0	254.0
52.0	273.0
53.0	367.0
54.0	393.0
55.0	383.0
56.0	244.0
57.0	183.0
58.0	125.0
59.0	150.0
60.0	207.0
61.0	267.0
62.0	385.0
63.0	399.0
64.0	465.0
65.0	428.0
66.0	358.0
67.0	251.0
68.0	178.0
69.0	165.0
70.0	213.0
71.0	294.0
72.0	368.0
73.0	411.0
74.0	487.0
75.0	500.0
76.0	448.0
77.0	336.0
78.0	258.0
79.0	216.0
80.0	276.0
81.0	336.0
82.0	395.0
83.0	485.0
84.0	495.0
85.0	519.0
86.0	527.0
87.0	350.0
88.0	327.0
89.0	299.0
90.0	274.0
91.0	360.0
92.0	373.0
93.0	564.0
94.0	597.0
95.0	647.0
96.0	609.0
97.0	544.0
98.0	413.0
99.0	366.0
100.0	296.0
101.0	364.0
102.0	430.0
103.0	554.0
104.0	631.0
105.0	677.0
106.0	693.0
107.0	633.0
108.0	526.0
109.0	382.0
110.0	382.0
111.0	408.0
112.0	474.0
113.0	578.0
114.0	706.0
115.0	696.0
116.0	786.0
117.0	741.0
118.0	612.0
119.0	533.0
120.0	464.0
121.0	442.0
122.0	521.0
123.0	565.0
124.0	711.0
125.0	826.0
126.0	798.0
127.0	776.0
128.0	759.0
129.0	632.0
130.0	608.0
131.0	507.0
132.0	557.0
133.0	628.0
134.0	775.0
135.0	869.0
136.0	875.0
137.0	878.0
138.0	853.0
139.0	782.0
140.0	669.0
141.0	639.0
142.0	597.0
143.0	749.0
144.0	851.0
145.0	869.0
146.0	967.0
147.0	1012.0
148.0	972.0
149.0	874.0
150.0	804.0
151.0	681.0
152.0	744.0
153.0	748.0
154.0	797.0
155.0	924.0
156.0	1074.0
157.0	1139.0
158.0	1104.0
159.0	1048.0
160.0	900.0
161.0	843.0
162.0	756.0
163.0	812.0
164.0	824.0
165.0	1059.0
166.0	1116.0
167.0	1181.0
168.0	1229.0
169.0	1236.0
170.0	1094.0
171.0	936.0
172.0	886.0
173.0	924.0
174.0	909.0
175.0	1073.0
176.0	1211.0
177.0	1265.0
178.0	1367.0
179.0	1330.0
180.0	1280.0
181.0	1109.0
182.0	1063.0
183.0	972.0
184.0	1038.0
185.0	1114.0
186.0	1172.0
187.0	1405.0
188.0	1494.0
189.0	1429.0
190.0	1368.0
191.0	1353.0
192.0	1161.0
193.0	1194.0
194.0	1139.0
195.0	1176.0
196.0	1287.0
197.0	1473.0
198.0	1578.0
199.0	1545.0
200.0	1566.0
201.0	1467.0
202.0	1386.0
203.0	1288.0
204.0	1340.0
205.0	1377.0
206.0	1464.0
207.0	1552.0
208.0	1684.0
209.0	1750.0
210.0	1755.0
211.0	1601.0
212.0	1528.0
213.0	1492.0
214.0	1426.0
215.0	1421.0
216.0	1495.0
217.0	1609.0
218.0	1742.0
219.0	1910.0
220.0	1798.0
221.0	1812.0
222.0	1826.0
223.0	1701.0
224.0	1570.0
225.0	1588.0
226.0	1635.0
227.0	1804.0
228.0	1841.0
229.0	1919.0
230.0	2046.0
231.0	1925.0
232.0	1994.0
233.0	1801.0
234.0	1870.0
235.0	1790.0
236.0	1734.0
237.0	1814.0
238.0	1939.0
239.0	2186.0
240.0	2166.0
241.0	2192.0
242.0	2161.0
243.0	2057.0
244.0	1972.0
245.0	1919.0
246.0	1868.0
247.0	2020.0
248.0	2073.0
249.0	2235.0
250.0	2281.0
251.0	2387.0
252.0	2425.0
253.0	2295.0
254.0	2177.0
255.0	2162.0
256.0	2052.0
257.0	2158.0
258.0	2219.0
259.0	2344.0
260.0	2291.0
261.0	2521.0
262.0	2533.0
263.0	2389.0
264.0	2411.0
265.0	2262.0
266.0	2345.0
267.0	2281.0
268.0	2319.0
269.0	2350.0
270.0	2504.0
271.0	2581.0
272.0	2792.0
273.0	2674.0
274.0	2586.0
275.0	2472.0
276.0	2490.0
277.0	2303.0
278.0	2374.0
279.0	2402.0
280.0	2694.0
281.0	2775.0
282.0	2691.0
283.0	2803.0
284.0	2593.0
285.0	2592.0
286.0	2516.0
287.0	2455.0
288.0	2590.0
289.0	2574.0
290.0	2636.0
291.0	2731.0
292.0	2821.0
293.0	2872.0
294.0	2743.0
295.0	2772.0
296.0	2680.0
297.0	2542.0
298.0	2663.0
299.0	2645.0
300.0	2780.0
301.0	2752.0
302.0	2938.0
303.0	2907.0
304.0	2908.0
305.0	2825.0
306.0	2728.0
307.0	2651.0
308.0	2662.0
309.0	2647.0
310.0	2749.0
311.0	2815.0
312.0	2942.0
313.0	2980.0
314.0	2952.0
315.0	2764.0
316.0	2929.0
317.0	2623.0
318.0	2763.0
319.0	2693.0
320.0	2795.0
321.0	2885.0
322.0	2925.0
323.0	2918.0
324.0	2951.0
325.0	2952.0
326.0	2873.0
327.0	2840.0
328.0	2762.0
329.0	2740.0
330.0	2797.0
331.0	2803.0
332.0	2885.0
333.0	2969.0
334.0	2920.0
335.0	2882.0
336.0	2787.0
337.0	2799.0
338.0	2673.0
339.0	2639.0
340.0	2760.0
341.0	2700.0
342.0	2817.0
343.0	2852.0
344.0	2885.0
345.0	2837.0
346.0	2823.0
347.0	2675.0
348.0	2736.0
349.0	2664.0
350.0	2681.0
351.0	2633.0
352.0	2711.0
353.0	2701.0
354.0	2808.0
355.0	2790.0
356.0	2789.0
357.0	2679.0
358.0	2582.0
359.0	2628.0
360.0	2568.0
361.0	2586.0
362.0	2654.0
363.0	2734.0
364.0	2555.0
365.0	2753.0
366.0	2567.0
367.0	2518.0
368.0	2690.0
369.0	2551.0
370.0	2473.0
371.0	2414.0
372.0	2435.0
373.0	2672.0
374.0	2584.0
375.0	2573.0
376.0	2542.0
377.0	2548.0
378.0	2515.0
379.0	2563.0
380.0	2486.0
381.0	2333.0
382.0	2447.0
383.0	2512.0
384.0	2475.0
385.0	2458.0
386.0	2391.0
387.0	2466.0
388.0	2395.0
389.0	2307.0
390.0	2252.0
391.0	2241.0
392.0	2198.0
393.0	2292.0
394.0	2279.0
395.0	2298.0
396.0	2313.0
397.0	2299.0
398.0	2215.0
399.0	2310.0
400.0	2219.0
401.0	2117.0
402.0	2158.0
403.0	2129.0
404.0	2244.0
405.0	2113.0
406.0	2188.0
407.0	2120.0
408.0	2222.0
409.0	2127.0
410.0	2045.0
411.0	2069.0
412.0	2000.0
413.0	2036.0
414.0	2018.0
415.0	2091.0
416.0	2036.0
417.0	2082.0
418.0	2026.0
419.0	1947.0
420.0	2027.0
421.0	1922.0
422.0	1849.0
