#Duplication rate	Coverage
1.0	13358.0
2.0	6748.0
3.0	3811.0
4.0	2266.0
5.0	1495.0
6.0	1031.0
7.0	687.0
8.0	503.0
9.0	413.0
10.0	284.0
11.0	213.0
12.0	162.0
13.0	125.0
14.0	106.0
15.0	83.0
16.0	71.0
17.0	45.0
18.0	46.0
19.0	21.0
20.0	17.0
21.0	20.0
22.0	26.0
23.0	16.0
24.0	11.0
25.0	16.0
26.0	9.0
27.0	14.0
28.0	8.0
29.0	4.0
30.0	5.0
31.0	8.0
32.0	4.0
33.0	7.0
34.0	6.0
35.0	4.0
36.0	4.0
37.0	3.0
38.0	2.0
39.0	5.0
40.0	3.0
41.0	2.0
42.0	1.0
43.0	2.0
44.0	2.0
45.0	1.0
46.0	1.0
47.0	1.0
48.0	0.0
49.0	0.0
50.0	28.0
