#Mapping quality	mapping quality
1.0	517.0
2.0	415.0
3.0	115.0
5.0	19.0
6.0	180.0
7.0	269.0
8.0	211.0
9.0	262.0
10.0	167.0
11.0	107.0
12.0	214.0
13.0	131.0
14.0	63.0
15.0	113.0
16.0	79.0
17.0	3.0
18.0	4.0
19.0	88.0
20.0	4.0
21.0	2.0
22.0	16.0
23.0	16.0
25.0	22.0
29.0	20.0
31.0	1.0
32.0	108.0
33.0	201.0
34.0	38.0
35.0	29.0
36.0	14.0
37.0	7.0
39.0	188.0
40.0	652.0
41.0	15.0
42.0	29.0
43.0	25.0
44.0	36.0
45.0	30.0
46.0	146.0
47.0	18.0
48.0	60.0
49.0	81.0
50.0	48.0
51.0	89.0
52.0	88.0
53.0	204.0
54.0	121.0
55.0	64.0
56.0	123.0
57.0	138.0
58.0	253.0
59.0	1043.0
60.0	2179.0
