#Mapping quality	mapping quality
1.0	319.0
2.0	132.0
3.0	772.0
4.0	709.0
5.0	782.0
6.0	300.0
7.0	297.0
8.0	340.0
9.0	855.0
10.0	195.0
11.0	146.0
12.0	213.0
13.0	159.0
14.0	202.0
15.0	206.0
16.0	527.0
17.0	350.0
18.0	289.0
19.0	205.0
20.0	287.0
21.0	542.0
22.0	534.0
23.0	250.0
24.0	234.0
25.0	251.0
26.0	370.0
27.0	617.0
28.0	778.0
29.0	841.0
30.0	743.0
31.0	1166.0
32.0	852.0
33.0	1412.0
34.0	1458.0
35.0	1631.0
36.0	2190.0
37.0	2473.0
38.0	3008.0
39.0	2920.0
40.0	16429.0
41.0	931.0
42.0	1034.0
43.0	1021.0
44.0	1051.0
45.0	1068.0
46.0	1188.0
47.0	1312.0
48.0	1607.0
49.0	1829.0
50.0	1724.0
51.0	1805.0
52.0	2227.0
53.0	2381.0
54.0	3000.0
55.0	2779.0
56.0	3962.0
57.0	4584.0
58.0	6254.0
59.0	39403.0
60.0	4946648.0
