#Duplication rate	Coverage
1.0	664569.0
2.0	231422.0
3.0	91278.0
4.0	41114.0
5.0	20146.0
6.0	10496.0
7.0	5860.0
8.0	3377.0
9.0	2150.0
10.0	1361.0
11.0	973.0
12.0	681.0
13.0	474.0
14.0	361.0
15.0	236.0
16.0	218.0
17.0	169.0
18.0	134.0
19.0	113.0
20.0	99.0
21.0	70.0
22.0	70.0
23.0	43.0
24.0	56.0
25.0	53.0
26.0	47.0
27.0	30.0
28.0	26.0
29.0	36.0
30.0	18.0
31.0	19.0
32.0	22.0
33.0	20.0
34.0	12.0
35.0	11.0
36.0	12.0
37.0	12.0
38.0	12.0
39.0	13.0
40.0	14.0
41.0	7.0
42.0	8.0
43.0	10.0
44.0	2.0
45.0	5.0
46.0	9.0
47.0	11.0
48.0	7.0
49.0	3.0
50.0	160.0
