#Coverage	Number of genomic locations
0.0	311.0
3.0	1.0
4.0	6.0
5.0	6.0
6.0	4.0
7.0	43.0
8.0	43.0
9.0	9.0
10.0	16.0
11.0	50.0
12.0	54.0
13.0	31.0
14.0	68.0
15.0	99.0
16.0	69.0
17.0	79.0
18.0	52.0
19.0	87.0
20.0	111.0
21.0	87.0
22.0	93.0
23.0	116.0
24.0	87.0
25.0	84.0
26.0	58.0
27.0	56.0
28.0	81.0
29.0	80.0
30.0	71.0
31.0	44.0
32.0	81.0
33.0	20.0
34.0	80.0
35.0	68.0
36.0	38.0
37.0	37.0
38.0	41.0
39.0	51.0
40.0	47.0
41.0	47.0
42.0	45.0
43.0	20.0
44.0	16.0
45.0	21.0
46.0	35.0
47.0	16.0
48.0	20.0
49.0	20.0
50.0	22.0
51.0	15.0
52.0	41.0
53.0	24.0
54.0	11.0
55.0	37.0
56.0	18.0
57.0	2.0
58.0	23.0
59.0	19.0
60.0	10.0
61.0	7.0
62.0	15.0
63.0	22.0
64.0	21.0
65.0	5.0
66.0	16.0
67.0	11.0
68.0	6.0
69.0	10.0
70.0	12.0
71.0	12.0
72.0	7.0
73.0	22.0
74.0	15.0
75.0	11.0
76.0	26.0
77.0	29.0
78.0	32.0
79.0	33.0
80.0	8.0
81.0	10.0
82.0	30.0
83.0	32.0
84.0	24.0
85.0	31.0
86.0	30.0
87.0	40.0
88.0	31.0
89.0	21.0
90.0	14.0
91.0	20.0
92.0	32.0
93.0	45.0
94.0	30.0
95.0	48.0
96.0	25.0
97.0	23.0
98.0	26.0
99.0	27.0
100.0	23.0
101.0	15.0
102.0	37.0
103.0	36.0
104.0	40.0
105.0	20.0
106.0	16.0
107.0	32.0
108.0	30.0
109.0	18.0
110.0	33.0
111.0	29.0
112.0	29.0
113.0	20.0
114.0	25.0
115.0	22.0
116.0	23.0
117.0	27.0
118.0	44.0
119.0	29.0
120.0	34.0
121.0	54.0
122.0	46.0
123.0	54.0
124.0	45.0
125.0	58.0
126.0	56.0
127.0	48.0
128.0	38.0
129.0	41.0
130.0	26.0
131.0	48.0
132.0	16.0
133.0	26.0
134.0	34.0
135.0	27.0
136.0	26.0
137.0	26.0
138.0	27.0
139.0	25.0
140.0	31.0
141.0	27.0
142.0	38.0
143.0	35.0
144.0	71.0
145.0	45.0
146.0	45.0
147.0	50.0
148.0	40.0
149.0	63.0
150.0	49.0
151.0	49.0
152.0	59.0
153.0	35.0
154.0	86.0
155.0	71.0
156.0	68.0
157.0	73.0
158.0	107.0
159.0	93.0
160.0	79.0
161.0	74.0
162.0	84.0
163.0	80.0
164.0	100.0
165.0	129.0
166.0	125.0
167.0	150.0
168.0	158.0
169.0	153.0
170.0	145.0
171.0	142.0
172.0	149.0
173.0	149.0
174.0	183.0
175.0	181.0
176.0	202.0
177.0	243.0
178.0	246.0
179.0	251.0
180.0	275.0
181.0	308.0
182.0	349.0
183.0	334.0
184.0	333.0
185.0	318.0
186.0	393.0
187.0	379.0
188.0	409.0
