#Duplication rate	Coverage
1.0	13382.0
2.0	7230.0
3.0	4304.0
4.0	2738.0
5.0	1887.0
6.0	1262.0
7.0	940.0
8.0	722.0
9.0	528.0
10.0	439.0
11.0	322.0
12.0	255.0
13.0	204.0
14.0	185.0
15.0	142.0
16.0	104.0
17.0	81.0
18.0	61.0
19.0	75.0
20.0	48.0
21.0	57.0
22.0	45.0
23.0	37.0
24.0	26.0
25.0	24.0
26.0	24.0
27.0	21.0
28.0	14.0
29.0	6.0
30.0	16.0
31.0	15.0
32.0	19.0
33.0	13.0
34.0	8.0
35.0	2.0
36.0	6.0
37.0	7.0
38.0	5.0
39.0	4.0
40.0	6.0
41.0	5.0
42.0	2.0
43.0	2.0
44.0	2.0
45.0	3.0
46.0	4.0
47.0	0.0
48.0	4.0
49.0	2.0
50.0	56.0
