#Insert size (bp)	insert size
19.0	66.0
20.0	28.0
21.0	15.0
22.0	5.0
23.0	4.0
24.0	2.0
25.0	5.0
26.0	1.0
27.0	3.0
28.0	1.0
30.0	2.0
31.0	2.0
33.0	2.0
34.0	1.0
35.0	3.0
36.0	1.0
37.0	2.0
38.0	1.0
39.0	3.0
40.0	2.0
41.0	6.0
42.0	4.0
43.0	2.0
44.0	3.0
45.0	1.0
46.0	5.0
47.0	1.0
48.0	2.0
49.0	2.0
50.0	1.0
51.0	1.0
52.0	3.0
53.0	2.0
54.0	2.0
56.0	3.0
57.0	1.0
58.0	3.0
59.0	3.0
60.0	1.0
61.0	1.0
62.0	3.0
63.0	1.0
64.0	3.0
65.0	2.0
66.0	5.0
67.0	1.0
68.0	2.0
69.0	6.0
70.0	4.0
71.0	1.0
72.0	15.0
73.0	3.0
74.0	5.0
75.0	2.0
76.0	3.0
77.0	1.0
78.0	5.0
79.0	9.0
80.0	8.0
81.0	3.0
82.0	6.0
83.0	3.0
84.0	4.0
85.0	1.0
86.0	6.0
87.0	6.0
88.0	2.0
89.0	2.0
90.0	5.0
92.0	8.0
93.0	3.0
94.0	5.0
95.0	8.0
96.0	4.0
97.0	3.0
98.0	9.0
99.0	1.0
100.0	5.0
102.0	2.0
103.0	4.0
104.0	3.0
105.0	4.0
106.0	6.0
107.0	4.0
108.0	8.0
109.0	17.0
110.0	4.0
111.0	5.0
112.0	6.0
113.0	13.0
114.0	5.0
115.0	4.0
116.0	6.0
117.0	5.0
118.0	3.0
119.0	8.0
120.0	8.0
121.0	4.0
122.0	6.0
123.0	3.0
124.0	6.0
125.0	5.0
126.0	3.0
127.0	4.0
128.0	14.0
129.0	5.0
130.0	7.0
131.0	10.0
132.0	4.0
133.0	7.0
134.0	9.0
135.0	3.0
136.0	9.0
137.0	10.0
138.0	10.0
139.0	12.0
140.0	14.0
141.0	6.0
142.0	9.0
143.0	5.0
144.0	6.0
145.0	15.0
146.0	11.0
147.0	5.0
148.0	12.0
149.0	21.0
150.0	13.0
151.0	14.0
152.0	12.0
153.0	10.0
154.0	13.0
155.0	13.0
156.0	22.0
157.0	21.0
158.0	9.0
159.0	7.0
160.0	6.0
161.0	14.0
162.0	8.0
163.0	16.0
164.0	12.0
165.0	18.0
166.0	13.0
167.0	12.0
168.0	20.0
169.0	12.0
170.0	16.0
171.0	10.0
172.0	11.0
173.0	27.0
174.0	20.0
175.0	16.0
176.0	18.0
177.0	16.0
178.0	26.0
179.0	24.0
180.0	13.0
181.0	23.0
182.0	19.0
183.0	24.0
184.0	17.0
185.0	15.0
186.0	30.0
187.0	37.0
188.0	24.0
189.0	30.0
190.0	20.0
191.0	23.0
192.0	23.0
193.0	33.0
194.0	40.0
195.0	27.0
196.0	21.0
197.0	76.0
198.0	26.0
199.0	28.0
200.0	30.0
201.0	35.0
202.0	29.0
203.0	32.0
204.0	35.0
205.0	35.0
206.0	26.0
207.0	28.0
208.0	36.0
209.0	32.0
210.0	31.0
211.0	37.0
212.0	29.0
213.0	61.0
214.0	45.0
215.0	39.0
216.0	40.0
217.0	25.0
218.0	45.0
219.0	47.0
220.0	51.0
221.0	60.0
222.0	53.0
223.0	35.0
224.0	47.0
225.0	48.0
226.0	48.0
227.0	42.0
228.0	38.0
229.0	60.0
230.0	49.0
231.0	47.0
232.0	67.0
233.0	64.0
234.0	55.0
235.0	73.0
236.0	68.0
237.0	59.0
238.0	51.0
239.0	49.0
240.0	74.0
241.0	69.0
242.0	65.0
243.0	56.0
244.0	76.0
245.0	80.0
246.0	77.0
247.0	63.0
248.0	81.0
249.0	95.0
250.0	65.0
251.0	77.0
252.0	83.0
253.0	70.0
254.0	91.0
255.0	111.0
256.0	103.0
257.0	82.0
258.0	82.0
259.0	81.0
260.0	71.0
261.0	93.0
262.0	106.0
263.0	82.0
264.0	87.0
265.0	104.0
266.0	91.0
267.0	103.0
268.0	92.0
269.0	94.0
270.0	114.0
271.0	90.0
272.0	107.0
273.0	131.0
274.0	101.0
275.0	126.0
276.0	110.0
277.0	110.0
278.0	95.0
279.0	122.0
280.0	116.0
281.0	109.0
282.0	132.0
283.0	139.0
284.0	124.0
285.0	115.0
286.0	96.0
287.0	138.0
288.0	120.0
289.0	119.0
290.0	146.0
291.0	145.0
292.0	166.0
293.0	137.0
294.0	142.0
295.0	139.0
296.0	141.0
297.0	143.0
298.0	166.0
299.0	152.0
300.0	141.0
301.0	184.0
302.0	166.0
303.0	149.0
304.0	165.0
305.0	161.0
306.0	167.0
307.0	186.0
308.0	151.0
309.0	174.0
310.0	175.0
311.0	191.0
312.0	159.0
313.0	174.0
314.0	173.0
315.0	192.0
316.0	195.0
317.0	169.0
318.0	183.0
319.0	187.0
320.0	180.0
321.0	165.0
322.0	193.0
323.0	201.0
324.0	185.0
325.0	200.0
326.0	172.0
327.0	186.0
328.0	196.0
329.0	159.0
330.0	175.0
331.0	194.0
332.0	184.0
333.0	202.0
334.0	202.0
335.0	219.0
336.0	224.0
337.0	208.0
338.0	199.0
339.0	205.0
340.0	193.0
341.0	219.0
342.0	222.0
343.0	224.0
344.0	211.0
345.0	210.0
346.0	240.0
347.0	223.0
348.0	199.0
349.0	226.0
350.0	192.0
351.0	228.0
352.0	205.0
353.0	242.0
354.0	209.0
355.0	235.0
356.0	226.0
357.0	199.0
358.0	200.0
359.0	213.0
360.0	231.0
361.0	209.0
362.0	244.0
363.0	209.0
364.0	196.0
365.0	226.0
366.0	235.0
367.0	211.0
368.0	196.0
369.0	210.0
370.0	206.0
371.0	234.0
372.0	214.0
373.0	245.0
374.0	193.0
375.0	220.0
376.0	245.0
377.0	214.0
378.0	206.0
379.0	233.0
380.0	213.0
381.0	197.0
382.0	222.0
383.0	220.0
384.0	218.0
385.0	200.0
386.0	249.0
387.0	211.0
388.0	247.0
389.0	245.0
390.0	209.0
391.0	230.0
392.0	234.0
393.0	195.0
394.0	225.0
395.0	198.0
396.0	199.0
397.0	215.0
398.0	222.0
399.0	184.0
400.0	236.0
401.0	224.0
402.0	235.0
403.0	225.0
404.0	176.0
405.0	198.0
406.0	197.0
407.0	202.0
408.0	210.0
409.0	203.0
410.0	211.0
411.0	203.0
412.0	199.0
413.0	202.0
414.0	212.0
415.0	189.0
416.0	230.0
417.0	202.0
418.0	196.0
419.0	165.0
420.0	196.0
421.0	200.0
422.0	217.0
423.0	200.0
424.0	206.0
425.0	164.0
426.0	191.0
427.0	212.0
428.0	205.0
429.0	197.0
430.0	178.0
431.0	156.0
432.0	184.0
433.0	180.0
434.0	181.0
435.0	167.0
436.0	200.0
437.0	160.0
438.0	211.0
439.0	191.0
440.0	150.0
441.0	188.0
442.0	170.0
443.0	197.0
444.0	160.0
445.0	179.0
446.0	187.0
447.0	150.0
448.0	190.0
449.0	184.0
450.0	169.0
451.0	180.0
452.0	178.0
453.0	159.0
454.0	177.0
455.0	173.0
456.0	153.0
457.0	194.0
458.0	142.0
459.0	162.0
460.0	175.0
461.0	148.0
462.0	139.0
463.0	136.0
464.0	134.0
465.0	148.0
466.0	163.0
467.0	147.0
468.0	175.0
469.0	149.0
470.0	136.0
471.0	161.0
472.0	147.0
473.0	146.0
474.0	141.0
475.0	154.0
476.0	150.0
477.0	136.0
478.0	154.0
479.0	134.0
480.0	151.0
481.0	140.0
482.0	128.0
483.0	109.0
484.0	138.0
485.0	142.0
486.0	131.0
487.0	133.0
488.0	130.0
489.0	118.0
490.0	131.0
491.0	100.0
492.0	133.0
493.0	108.0
494.0	141.0
495.0	129.0
496.0	130.0
497.0	135.0
498.0	148.0
499.0	146.0
500.0	109.0
501.0	109.0
502.0	114.0
503.0	113.0
504.0	132.0
505.0	118.0
506.0	118.0
507.0	92.0
508.0	119.0
509.0	113.0
510.0	107.0
511.0	108.0
512.0	107.0
513.0	117.0
514.0	104.0
515.0	116.0
516.0	98.0
517.0	120.0
518.0	111.0
519.0	112.0
520.0	86.0
521.0	108.0
522.0	113.0
523.0	90.0
524.0	86.0
525.0	78.0
526.0	111.0
527.0	99.0
528.0	91.0
529.0	112.0
530.0	87.0
531.0	82.0
532.0	97.0
533.0	84.0
534.0	82.0
535.0	104.0
536.0	83.0
537.0	90.0
538.0	92.0
539.0	81.0
540.0	113.0
541.0	100.0
542.0	92.0
543.0	87.0
544.0	72.0
545.0	82.0
546.0	96.0
547.0	82.0
548.0	76.0
549.0	82.0
550.0	85.0
551.0	77.0
552.0	69.0
553.0	69.0
554.0	72.0
