#Mapping quality	mapping quality
1.0	996.0
2.0	48.0
3.0	35.0
4.0	37.0
5.0	57.0
7.0	84.0
9.0	32.0
10.0	10.0
11.0	9.0
12.0	27.0
13.0	65.0
14.0	62.0
15.0	59.0
16.0	65.0
17.0	23.0
18.0	35.0
19.0	75.0
20.0	98.0
21.0	93.0
22.0	45.0
23.0	40.0
24.0	35.0
25.0	67.0
26.0	50.0
27.0	21.0
28.0	37.0
29.0	78.0
30.0	45.0
31.0	12.0
32.0	83.0
33.0	68.0
34.0	99.0
35.0	93.0
36.0	48.0
37.0	24.0
38.0	18.0
39.0	67.0
40.0	71.0
41.0	89.0
42.0	29.0
43.0	6.0
44.0	11.0
45.0	11.0
46.0	18.0
47.0	15.0
48.0	40.0
49.0	36.0
50.0	26.0
51.0	55.0
52.0	56.0
53.0	82.0
54.0	72.0
55.0	165.0
56.0	146.0
57.0	215.0
58.0	626.0
59.0	10505.0
60.0	150996.0
