#Mapping quality	mapping quality
1.0	332.0
2.0	203.0
3.0	1117.0
4.0	389.0
5.0	47.0
6.0	200.0
7.0	59.0
8.0	74.0
9.0	123.0
10.0	52.0
11.0	97.0
12.0	264.0
13.0	205.0
14.0	263.0
15.0	152.0
16.0	117.0
17.0	235.0
18.0	286.0
19.0	190.0
20.0	366.0
21.0	411.0
22.0	458.0
23.0	457.0
24.0	331.0
25.0	450.0
26.0	462.0
27.0	744.0
28.0	1024.0
29.0	1166.0
30.0	976.0
31.0	1196.0
32.0	1320.0
33.0	1420.0
34.0	1571.0
35.0	1868.0
36.0	2549.0
37.0	2540.0
38.0	2863.0
39.0	3445.0
40.0	17442.0
41.0	1149.0
42.0	1211.0
43.0	1150.0
44.0	1296.0
45.0	1287.0
46.0	1537.0
47.0	1573.0
48.0	1548.0
49.0	1696.0
50.0	1832.0
51.0	2138.0
52.0	2392.0
53.0	2421.0
54.0	2775.0
55.0	3085.0
56.0	3705.0
57.0	5100.0
58.0	7119.0
59.0	155759.0
60.0	4949298.0
