#Mapping quality	mapping quality
2.0	196.0
3.0	913.0
4.0	186.0
5.0	263.0
6.0	13.0
7.0	215.0
8.0	266.0
9.0	103.0
10.0	135.0
11.0	223.0
12.0	314.0
13.0	41.0
14.0	96.0
15.0	234.0
16.0	171.0
17.0	408.0
18.0	396.0
19.0	295.0
20.0	250.0
21.0	363.0
22.0	400.0
23.0	614.0
24.0	395.0
25.0	893.0
26.0	785.0
27.0	1381.0
28.0	1047.0
29.0	1011.0
30.0	1067.0
31.0	1175.0
32.0	1362.0
33.0	1693.0
34.0	1572.0
35.0	1836.0
36.0	2089.0
37.0	3007.0
38.0	3905.0
39.0	3114.0
40.0	17045.0
41.0	1017.0
42.0	934.0
43.0	1049.0
44.0	1104.0
45.0	1068.0
46.0	1203.0
47.0	1556.0
48.0	1466.0
49.0	1639.0
50.0	1738.0
51.0	2042.0
52.0	2408.0
53.0	2587.0
54.0	3282.0
55.0	3344.0
56.0	4150.0
57.0	5235.0
58.0	7192.0
59.0	43753.0
60.0	4936119.0
