#Mapping quality	mapping quality
3.0	30.0
5.0	67.0
6.0	25.0
7.0	18.0
8.0	51.0
9.0	249.0
10.0	145.0
11.0	101.0
12.0	134.0
13.0	161.0
14.0	156.0
15.0	175.0
16.0	220.0
17.0	276.0
18.0	207.0
19.0	172.0
20.0	276.0
21.0	87.0
22.0	86.0
23.0	43.0
24.0	26.0
25.0	50.0
26.0	63.0
27.0	94.0
28.0	23.0
29.0	22.0
30.0	20.0
31.0	62.0
32.0	19.0
33.0	76.0
34.0	39.0
35.0	148.0
36.0	166.0
37.0	162.0
38.0	358.0
39.0	821.0
40.0	237.0
41.0	54.0
42.0	72.0
43.0	116.0
44.0	129.0
45.0	95.0
46.0	103.0
47.0	47.0
48.0	29.0
49.0	51.0
50.0	45.0
51.0	169.0
52.0	103.0
53.0	98.0
54.0	108.0
55.0	196.0
56.0	187.0
57.0	508.0
58.0	1151.0
59.0	7795.0
60.0	58312.0
