#Duplication rate	Coverage
1.0	19087.0
2.0	12745.0
3.0	7554.0
4.0	4061.0
5.0	2331.0
6.0	1270.0
7.0	644.0
8.0	438.0
9.0	305.0
10.0	183.0
11.0	146.0
12.0	107.0
13.0	103.0
14.0	83.0
15.0	58.0
16.0	60.0
17.0	33.0
18.0	29.0
19.0	30.0
20.0	24.0
21.0	17.0
22.0	18.0
23.0	10.0
24.0	16.0
25.0	6.0
26.0	4.0
27.0	6.0
28.0	3.0
29.0	5.0
30.0	3.0
31.0	5.0
32.0	1.0
33.0	1.0
34.0	1.0
35.0	2.0
36.0	0.0
37.0	1.0
38.0	0.0
39.0	1.0
40.0	0.0
41.0	1.0
42.0	1.0
43.0	0.0
44.0	1.0
45.0	0.0
46.0	0.0
47.0	1.0
48.0	0.0
49.0	0.0
50.0	45.0
