#Mapping quality	mapping quality
1.0	543.0
4.0	110.0
5.0	130.0
6.0	172.0
7.0	563.0
8.0	53.0
9.0	21.0
10.0	76.0
19.0	81.0
21.0	8.0
22.0	42.0
23.0	29.0
24.0	47.0
25.0	183.0
26.0	81.0
27.0	24.0
28.0	39.0
29.0	41.0
30.0	16.0
31.0	4.0
32.0	8.0
33.0	78.0
34.0	120.0
35.0	89.0
36.0	109.0
37.0	147.0
38.0	216.0
39.0	95.0
40.0	59.0
41.0	38.0
42.0	23.0
43.0	15.0
44.0	17.0
45.0	29.0
46.0	30.0
47.0	60.0
48.0	38.0
49.0	43.0
50.0	38.0
51.0	51.0
52.0	44.0
53.0	72.0
54.0	118.0
55.0	110.0
56.0	186.0
57.0	277.0
58.0	733.0
59.0	10839.0
60.0	150688.0
