#Duplication rate	Coverage
1.0	916644.0
2.0	307536.0
3.0	121170.0
4.0	54166.0
5.0	26698.0
6.0	13922.0
7.0	7764.0
8.0	4498.0
9.0	2671.0
10.0	1687.0
11.0	1050.0
12.0	726.0
13.0	478.0
14.0	354.0
15.0	244.0
16.0	153.0
17.0	147.0
18.0	99.0
19.0	79.0
20.0	68.0
21.0	58.0
22.0	43.0
23.0	34.0
24.0	18.0
25.0	22.0
26.0	29.0
27.0	19.0
28.0	16.0
29.0	12.0
30.0	13.0
31.0	16.0
32.0	9.0
33.0	5.0
34.0	8.0
35.0	10.0
36.0	7.0
37.0	6.0
38.0	5.0
39.0	1.0
40.0	7.0
41.0	3.0
42.0	6.0
43.0	5.0
44.0	7.0
45.0	7.0
46.0	8.0
47.0	3.0
48.0	5.0
49.0	2.0
50.0	129.0
