#Position (bp)	Coverage	Std
6876.0	75.73078321576612	15.975549003134986
20627.0	72.77659806559522	16.74202921220691
34378.0	71.48294669478584	14.992910355204744
48129.0	71.36877318013235	13.471401415507525
61880.0	41.98807359464766	36.6191783193444
75631.0	71.5214166242455	13.802954831057477
89382.0	71.80975929023344	16.456375802699345
103133.0	70.52287106392262	15.594383173469128
116884.0	69.14973456475893	11.940700206904495
130635.0	69.71143916806051	14.917939060910209
144386.0	66.54912370009454	16.909216590410203
158137.0	70.52592538724457	14.845513826728265
171888.0	71.37539088066322	13.841451353812502
185639.0	74.77870700312704	16.24522104338997
199390.0	70.65638862628172	14.653963190550975
213141.0	71.09250236346448	14.632675477247048
226892.0	73.74554577848883	16.262750573445253
240643.0	69.39677114391681	13.019824001555818
254394.0	69.60410151988947	14.44927734810574
268145.0	65.02181659515672	12.495293274294035
281896.0	69.56032288560831	14.609992963984581
295647.0	69.86750054541488	16.156617476128588
309398.0	66.52039851647153	14.041260867997027
323149.0	70.306450439968	13.089575763682602
336900.0	66.93615009817468	16.530944487947075
350651.0	67.29903279761471	13.318734887507485
364402.0	69.13257217656897	11.548061284847174
378153.0	69.33132135844666	12.446829684500708
391904.0	68.80612319104065	14.561907844135215
405655.0	64.13082684895645	12.187929809646494
419406.0	62.744891280634135	15.881886230293391
433157.0	64.56497709257509	15.494681585727902
446908.0	66.16667878699731	11.738013519528192
460659.0	64.29677841611519	13.55949352804558
474410.0	63.95491237000945	16.296175646528074
488161.0	66.94182241291543	17.485437597086417
501912.0	63.7635081085012	16.654754427173422
515663.0	64.75747218384117	15.514606131575928
529414.0	68.35873754636026	12.421698614348678
543165.0	64.91287906334085	15.834306310823752
556916.0	66.74292778707003	14.595543454608489
570667.0	68.2892153297942	13.02196306518805
584418.0	58.96283906624973	23.59358671359808
598169.0	66.17315104356047	11.796149913801893
611920.0	65.94560395607593	14.931842826218594
625671.0	59.68416842411461	15.416610470815009
639422.0	62.99185513780816	16.255804555057786
653173.0	65.9612391826049	16.01186292096253
666924.0	64.25910842847793	12.185387721144698
680675.0	62.30623227401644	12.242976790483322
694426.0	60.35611955494146	13.36159344830758
708177.0	64.1487891789688	11.011292555409605
721928.0	63.47283833902989	12.681772668295503
735679.0	59.73136499163697	18.248680122979298
749430.0	63.94647661988219	14.961995828658262
763181.0	59.2657261290088	17.063308521774363
776932.0	51.417860519234964	24.431709785079015
790683.0	51.19416769689477	21.67250508241168
804434.0	45.72700167260563	27.31554850038893
818185.0	58.9548396480256	20.39901224043523
831936.0	63.21394807650353	11.299243183355983
845687.0	60.46207548541924	14.236397207655768
859438.0	62.68329576030834	14.596176215682794
873189.0	63.588757181295904	13.09954448044778
886940.0	62.13722638353574	11.270353641717138
900691.0	61.21271180277798	12.109258263792297
914442.0	58.55472329285143	12.777135103040493
928193.0	60.20885753763363	11.40500663846947
941944.0	58.742855065086175	20.6115257518368
955695.0	59.91062468184132	14.046607336286108
969446.0	58.33808450294524	11.97103684816522
983197.0	56.74423678277943	14.633254451579312
