#Duplication rate	Coverage
1.0	13160.0
2.0	6522.0
3.0	3617.0
4.0	2181.0
5.0	1373.0
6.0	959.0
7.0	659.0
8.0	466.0
9.0	353.0
10.0	242.0
11.0	183.0
12.0	148.0
13.0	94.0
14.0	76.0
15.0	70.0
16.0	59.0
17.0	33.0
18.0	27.0
19.0	22.0
20.0	21.0
21.0	28.0
22.0	22.0
23.0	17.0
24.0	10.0
25.0	6.0
26.0	10.0
27.0	7.0
28.0	6.0
29.0	7.0
30.0	4.0
31.0	6.0
32.0	6.0
33.0	3.0
34.0	3.0
35.0	0.0
36.0	1.0
37.0	2.0
38.0	0.0
39.0	0.0
40.0	2.0
41.0	0.0
42.0	3.0
43.0	1.0
44.0	1.0
45.0	1.0
46.0	2.0
47.0	1.0
48.0	0.0
49.0	0.0
50.0	18.0
