#Mapping quality	mapping quality
3.0	23.0
4.0	25.0
6.0	72.0
7.0	19.0
8.0	17.0
9.0	94.0
10.0	85.0
11.0	138.0
12.0	172.0
13.0	217.0
14.0	176.0
15.0	340.0
16.0	205.0
17.0	209.0
18.0	116.0
19.0	97.0
20.0	180.0
21.0	122.0
22.0	95.0
23.0	120.0
24.0	46.0
25.0	120.0
26.0	115.0
27.0	99.0
28.0	74.0
29.0	66.0
30.0	29.0
31.0	91.0
32.0	27.0
33.0	37.0
35.0	52.0
36.0	149.0
37.0	277.0
38.0	417.0
39.0	406.0
40.0	885.0
41.0	16.0
42.0	12.0
43.0	38.0
44.0	13.0
45.0	32.0
46.0	60.0
47.0	79.0
48.0	52.0
49.0	81.0
50.0	178.0
51.0	144.0
52.0	107.0
53.0	97.0
54.0	73.0
55.0	177.0
56.0	229.0
57.0	316.0
58.0	1114.0
59.0	9164.0
60.0	57228.0
