seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JBBIGK010000035.1	31581	No terminal repeats	41	11	1.0000	NA	10	25.7400	T_virB9;T_virB10;T_virB1;t4cp2;virb4;T_virB5;T_virB6	NA
JBBIGK010000049.1	9322	No terminal repeats	10	11	1.0000	NA	1	8.5656	NA	NA
JBBIGK010000046.1	12901	No terminal repeats	15	11	1.0000	NA	2	8.5914	B_traI;T_virB6	NA
JBBIGK010000068.1	1702	No terminal repeats	3	11	1.0000	NA	1	2.8437	MOBH	NA
JBBIGK010000040.1	24406	No terminal repeats	22	11	1.0000	NA	1	9.2706	NA	NA
JBBIGK010000043.1	17126	No terminal repeats	16	11	1.0000	NA	3	6.9401	NA	NA
JBBIGK010000039.1	24535	No terminal repeats	32	11	0.9999	NA	8	10.5958	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB3;T_virB2	NA
JBBIGK010000052.1	8570	No terminal repeats	9	11	0.9999	NA	0	3.4312	NA	NA
JBBIGK010000029.1	40319	No terminal repeats	31	11	0.9999	NA	0	6.3270	NA	NA
JBBIGK010000059.1	3523	No terminal repeats	5	11	0.9999	NA	0	2.0360	NA	NA
JBBIGK010000055.1	6538	No terminal repeats	9	11	0.9995	NA	1	0.8364	NA	NA
JBBIGK010000053.1	8493	No terminal repeats	10	11	0.9992	NA	0	0.6240	NA	NA
JBBIGK010000041.1	19685	No terminal repeats	20	11	0.9960	NA	0	0.3959	NA	NA
JBBIGK010000047.1	12695	No terminal repeats	12	11	0.9943	NA	2	2.3152	T_virB9;T_virB8	NA
