#Mapping quality	mapping quality
3.0	1.0
5.0	29.0
6.0	40.0
7.0	13.0
9.0	6.0
10.0	9.0
11.0	57.0
12.0	120.0
13.0	254.0
14.0	504.0
15.0	146.0
16.0	105.0
17.0	182.0
18.0	126.0
19.0	176.0
20.0	140.0
21.0	148.0
22.0	115.0
23.0	191.0
24.0	183.0
25.0	238.0
26.0	196.0
27.0	145.0
28.0	131.0
29.0	169.0
30.0	196.0
31.0	116.0
32.0	56.0
33.0	42.0
34.0	13.0
35.0	3.0
36.0	44.0
37.0	105.0
38.0	356.0
39.0	727.0
40.0	459.0
41.0	26.0
42.0	36.0
43.0	29.0
44.0	10.0
45.0	17.0
46.0	19.0
47.0	31.0
48.0	31.0
49.0	24.0
50.0	65.0
51.0	63.0
52.0	196.0
53.0	130.0
54.0	78.0
55.0	71.0
56.0	196.0
57.0	228.0
58.0	683.0
59.0	5241.0
60.0	61919.0
