seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJIVP010000032.1	2585	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJIVP010000068.1	14013	No terminal repeats	15	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JAJIVP010000033.1	14862	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JAJIVP010000043.1	12068	No terminal repeats	11	11	0.9999	NA	1	8.5656	NA	NA
JAJIVP010000064.1	11173	No terminal repeats	10	11	0.9999	NA	0	4.9816	NA	NA
JAJIVP010000107.1	4193	No terminal repeats	3	11	0.9998	NA	0	3.4366	NA	NA
JAJIVP010000084.1	69217	No terminal repeats	78	11	0.9998	NA	3	13.6305	I_trbA;I_traW;I_traY	NA
JAJIVP010000054.1	40797	No terminal repeats	31	11	0.9998	NA	0	6.3270	NA	NA
JAJIVP010000102.1	83920	No terminal repeats	94	11	0.9997	NA	6	16.8008	I_traK;I_traI;I_traM;I_traN;traU	NA
JAJIVP010000011.1	15499	No terminal repeats	14	11	0.9996	NA	4	5.6602	T_virB8;T_virB9;T_virB2;T_virB3	NA
JAJIVP010000029.1	7823	No terminal repeats	8	11	0.9996	NA	2	5.1548	T_virB6;T_virB6	NA
JAJIVP010000044.1	7102	No terminal repeats	5	11	0.9990	NA	0	1.3109	NA	NA
JAJIVP010000079.1	42554	No terminal repeats	27	11	0.9985	NA	0	2.7171	NA	NA
JAJIVP010000042.1	22110	No terminal repeats	21	11	0.9947	NA	0	0.3959	NA	NA
JAJIVP010000071.1	11602	No terminal repeats	9	11	0.9612	NA	1	1.5582	NA	NA
JAJIVP010000022.1	12578	No terminal repeats	9	11	0.9471	NA	0	1.5562	NA	NF012174
JAJIVP010000110.1	11619	No terminal repeats	9	11	0.9430	NA	0	0.8983	NA	NA
