#Mapping quality	mapping quality
1.0	31.0
2.0	65.0
3.0	1080.0
4.0	183.0
5.0	245.0
6.0	246.0
7.0	178.0
8.0	293.0
9.0	259.0
10.0	234.0
11.0	94.0
12.0	163.0
13.0	43.0
14.0	240.0
15.0	219.0
16.0	194.0
17.0	445.0
18.0	251.0
19.0	168.0
20.0	182.0
21.0	203.0
22.0	448.0
23.0	252.0
24.0	323.0
25.0	644.0
26.0	469.0
27.0	1181.0
28.0	935.0
29.0	945.0
30.0	1070.0
31.0	1658.0
32.0	1279.0
33.0	1602.0
34.0	1769.0
35.0	2163.0
36.0	2241.0
37.0	2883.0
38.0	3763.0
39.0	4233.0
40.0	13770.0
41.0	1151.0
42.0	1160.0
43.0	1379.0
44.0	1349.0
45.0	1447.0
46.0	1512.0
47.0	1299.0
48.0	1551.0
49.0	2015.0
50.0	2157.0
51.0	2349.0
52.0	2502.0
53.0	2534.0
54.0	3115.0
55.0	3155.0
56.0	4049.0
57.0	4801.0
58.0	7088.0
59.0	194549.0
60.0	4934034.0
