#Insert size (bp)	insert size
3.0	1.0
9.0	1.0
10.0	1.0
17.0	1.0
19.0	127.0
20.0	26.0
21.0	41.0
22.0	13.0
23.0	6.0
24.0	8.0
25.0	5.0
26.0	11.0
27.0	41.0
28.0	75.0
29.0	79.0
30.0	82.0
31.0	72.0
32.0	93.0
33.0	168.0
34.0	192.0
35.0	261.0
36.0	156.0
37.0	90.0
38.0	80.0
39.0	126.0
40.0	182.0
41.0	206.0
42.0	274.0
43.0	292.0
44.0	341.0
45.0	302.0
46.0	231.0
47.0	159.0
48.0	133.0
49.0	170.0
50.0	211.0
51.0	274.0
52.0	290.0
53.0	306.0
54.0	313.0
55.0	300.0
56.0	244.0
57.0	207.0
58.0	153.0
59.0	184.0
60.0	248.0
61.0	320.0
62.0	297.0
63.0	354.0
64.0	452.0
65.0	381.0
66.0	332.0
67.0	276.0
68.0	237.0
69.0	239.0
70.0	282.0
71.0	356.0
72.0	449.0
73.0	462.0
74.0	469.0
75.0	462.0
76.0	411.0
77.0	332.0
78.0	310.0
79.0	254.0
80.0	288.0
81.0	366.0
82.0	474.0
83.0	541.0
84.0	527.0
85.0	535.0
86.0	458.0
87.0	417.0
88.0	337.0
89.0	307.0
90.0	314.0
91.0	424.0
92.0	451.0
93.0	559.0
94.0	572.0
95.0	624.0
96.0	563.0
97.0	464.0
98.0	411.0
99.0	396.0
100.0	372.0
101.0	423.0
102.0	502.0
103.0	580.0
104.0	612.0
105.0	724.0
106.0	642.0
107.0	584.0
108.0	478.0
109.0	445.0
110.0	391.0
111.0	442.0
112.0	586.0
113.0	675.0
114.0	744.0
115.0	736.0
116.0	769.0
117.0	721.0
118.0	641.0
119.0	570.0
120.0	534.0
121.0	478.0
122.0	614.0
123.0	727.0
124.0	725.0
125.0	822.0
126.0	871.0
127.0	818.0
128.0	764.0
129.0	685.0
130.0	626.0
131.0	548.0
132.0	603.0
133.0	694.0
134.0	822.0
135.0	869.0
136.0	969.0
137.0	950.0
138.0	847.0
139.0	802.0
140.0	719.0
141.0	694.0
142.0	637.0
143.0	758.0
144.0	883.0
145.0	1100.0
146.0	1098.0
147.0	1122.0
148.0	1052.0
149.0	968.0
150.0	912.0
151.0	844.0
152.0	778.0
153.0	880.0
154.0	890.0
